Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
cfd,097K,h_areas,0,cuda_compute_flux,882079459.0,34.61,49386,1297676282.05,34.61,37856,30.89,35868.45,21.64,30.21,1.18,0.86,1.19,29.63,29.63,312573964497.04,30.89,34.61,72.43,5.4,28.37,6.19,0.48,69.76,1,0.3,30.24,27.96,29.14,20.53,20.46,20.46,10592.76,3389682,10627.62,3400837,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.54,38.35,30,46.88,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_compute_flux,882079459.0,34.61,49386,1297676282.05,34.61,37856,30.89,35868.45,21.64,30.21,1.18,0.86,1.19,29.63,29.63,312573964497.04,30.89,34.61,72.43,5.4,28.37,6.19,0.48,69.76,1,0.3,30.24,27.96,29.14,20.53,20.46,20.46,10592.76,3389682,10627.62,3400837,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.54,38.35,30,46.88,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_compute_flux,882079459.0,34.61,49386,1297676282.05,34.61,37856,30.89,35868.45,21.64,30.21,1.18,0.86,1.19,29.63,29.63,312573964497.04,30.89,34.61,72.43,5.4,28.37,6.19,0.48,69.76,1,0.3,30.24,27.96,29.14,20.53,20.46,20.46,10592.76,3389682,10627.62,3400837,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.54,38.35,30,46.88,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_time_step,841836734.69,62.84,15707,1247741284.01,62.84,12544,20.3,11391.62,4.86,14.66,0.26,0.19,0.27,6.67,6.67,541719387755.1,20.3,62.84,31.29,4.61,0.0,8.68,0.11,93.29,1,0.07,6.71,30.78,32.0,131.07,129.25,129.25,749.51,239844,760.08,243226,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.24,53.51,60,93.75,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_time_step,841836734.69,62.84,15707,1247741284.01,62.84,12544,20.3,11391.62,4.86,14.66,0.26,0.19,0.27,6.67,6.67,541719387755.1,20.3,62.84,31.29,4.61,0.0,8.68,0.11,93.29,1,0.07,6.71,30.78,32.0,131.07,129.25,129.25,749.51,239844,760.08,243226,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.24,53.51,60,93.75,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_time_step,841836734.69,62.84,15707,1247741284.01,62.84,12544,20.3,11391.62,4.86,14.66,0.26,0.19,0.27,6.67,6.67,541719387755.1,20.3,62.84,31.29,4.61,0.0,8.68,0.11,93.29,1,0.07,6.71,30.78,32.0,131.07,129.25,129.25,749.51,239844,760.08,243226,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.24,53.51,60,93.75,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_compute_flux,866138448.71,34.77,49175,1274143383.38,34.77,38368,30.82,36151.25,21.67,30.09,1.17,0.86,1.17,29.3,29.3,308355296080.07,30.82,34.77,73.45,5.42,28.3,6.27,0.49,69.91,1,0.3,30.09,28.05,29.24,20.89,20.82,20.82,10555.56,3377779,10591.24,3389197,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.21,37.83,30,46.88,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_compute_flux,866138448.71,34.77,49175,1274143383.38,34.77,38368,30.82,36151.25,21.67,30.09,1.17,0.86,1.17,29.3,29.3,308355296080.07,30.82,34.77,73.45,5.42,28.3,6.27,0.49,69.91,1,0.3,30.09,28.05,29.24,20.89,20.82,20.82,10555.56,3377779,10591.24,3389197,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.21,37.83,30,46.88,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_compute_flux,866138448.71,34.77,49175,1274143383.38,34.77,38368,30.82,36151.25,21.67,30.09,1.17,0.86,1.17,29.3,29.3,308355296080.07,30.82,34.77,73.45,5.42,28.3,6.27,0.49,69.91,1,0.3,30.09,28.05,29.24,20.89,20.82,20.82,10555.56,3377779,10591.24,3389197,192,506,58,0,0,0,97152,1.27,32,5,32,10,24.21,37.83,30,46.88,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_time_step,858544303.8,60.96,16131,1270938818.57,60.96,12640,19.78,11976.16,4.73,13.94,0.25,0.19,0.25,6.35,6.35,535903797468.35,19.78,60.96,31.29,4.49,0.0,8.23,0.11,93.49,1,0.07,6.51,30.78,32.0,128.16,126.39,126.39,749.51,239844,760.0,243200,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.05,53.21,60,93.75,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
