Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
cfd,missile0.2M,h_normals,2,cuda_compute_step_factor,755976095.62,59.32,18011,1117291251.66,59.32,16064,18.62,15626.31,30.6,13.96,1.39,1.21,1.41,35.14,35.14,459203187251.0,18.62,59.32,14.7,8.1,0.0,12.11,0.87,64.55,1,0.35,35.45,28.38,32.0,34.54,34.16,34.16,5431.27,1738008,5491.65,1757328,192,1212,20,0,0,0,232704,1.52,32,14,32,10,47.81,74.7,60,93.75,111,0x7f0c92600000,0x7f0c930a7000,11169792,65,34,10908.0,0.0,0.0
cfd,missile0.2M,h_areas,0,cuda_compute_flux,862219165.52,42.8,89447,1275621370.17,42.8,69792,42.41,78228.59,34.77,34.53,1.57,1.38,1.58,39.57,39.57,377900962861.07,42.41,42.8,73.21,7.96,26.73,7.07,0.71,59.72,1,0.4,40.28,28.57,31.39,17.69,17.55,17.55,30709.34,9826988,30953.97,9905270,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.67,43.23,30,46.88,111,0x7f0c92000000,0x7f0c920e3400,930816,5,52,1024.0,0.0,0.0
cfd,missile0.2M,h_elements_surrounding_elements,1,cuda_compute_flux,862219165.52,42.8,89447,1275621370.17,42.8,69792,42.41,78228.59,34.77,34.53,1.57,1.38,1.58,39.57,39.57,377900962861.07,42.41,42.8,73.21,7.96,26.73,7.07,0.71,59.72,1,0.4,40.28,28.57,31.39,17.69,17.55,17.55,30709.34,9826988,30953.97,9905270,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.67,43.23,30,46.88,111,0x7f0c92200000,0x7f0c9258d000,3723264,20,26,3636.0,0.0,0.0
cfd,missile0.2M,h_normals,2,cuda_compute_flux,862219165.52,42.8,89447,1275621370.17,42.8,69792,42.41,78228.59,34.77,34.53,1.57,1.38,1.58,39.57,39.57,377900962861.07,42.41,42.8,73.21,7.96,26.73,7.07,0.71,59.72,1,0.4,40.28,28.57,31.39,17.69,17.55,17.55,30709.34,9826988,30953.97,9905270,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.67,43.23,30,46.88,111,0x7f0c92600000,0x7f0c930a7000,11169792,65,34,10908.0,0.0,0.0
cfd,missile0.2M,h_areas,0,cuda_time_step,803571428.57,78.23,28970,1193714175.49,78.23,24192,26.42,23775.9,6.33,16.82,0.31,0.25,0.31,7.69,7.69,643724867724.87,26.42,78.23,31.34,5.98,0.0,12.18,0.14,92.47,1,0.08,7.53,30.8,32.0,162.72,161.76,161.76,1818.0,581760,1828.88,585242,192,1212,22,0,0,0,232704,1.52,32,14,32,10,50.93,79.58,60,93.75,111,0x7f0c92000000,0x7f0c920e3400,930816,5,52,1024.0,0.0,0.0
cfd,missile0.2M,h_elements_surrounding_elements,1,cuda_time_step,803571428.57,78.23,28970,1193714175.49,78.23,24192,26.42,23775.9,6.33,16.82,0.31,0.25,0.31,7.69,7.69,643724867724.87,26.42,78.23,31.34,5.98,0.0,12.18,0.14,92.47,1,0.08,7.53,30.8,32.0,162.72,161.76,161.76,1818.0,581760,1828.88,585242,192,1212,22,0,0,0,232704,1.52,32,14,32,10,50.93,79.58,60,93.75,111,0x7f0c92200000,0x7f0c9258d000,3723264,20,26,3636.0,0.0,0.0
cfd,missile0.2M,h_normals,2,cuda_time_step,803571428.57,78.23,28970,1193714175.49,78.23,24192,26.42,23775.9,6.33,16.82,0.31,0.25,0.31,7.69,7.69,643724867724.87,26.42,78.23,31.34,5.98,0.0,12.18,0.14,92.47,1,0.08,7.53,30.8,32.0,162.72,161.76,161.76,1818.0,581760,1828.88,585242,192,1212,22,0,0,0,232704,1.52,32,14,32,10,50.93,79.58,60,93.75,111,0x7f0c92600000,0x7f0c930a7000,11169792,65,34,10908.0,0.0,0.0
cfd,missile0.2M,h_areas,0,cuda_compute_flux,855384615.38,41.3,92497,1264741300.37,41.55,72800,41.55,82027.94,36.6,33.21,1.63,1.45,1.64,41.08,41.08,361737142857.14,41.55,41.3,73.3,8.31,25.83,6.92,0.73,58.31,1,0.42,41.69,22.03,23.16,16.71,16.59,16.59,33457.34,10706349,33697.51,10783204,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.31,42.67,30,46.88,111,0x7f0c92000000,0x7f0c920e3400,930816,5,52,1024.0,0.0,0.0
cfd,missile0.2M,h_elements_surrounding_elements,1,cuda_compute_flux,855384615.38,41.3,92497,1264741300.37,41.55,72800,41.55,82027.94,36.6,33.21,1.63,1.45,1.64,41.08,41.08,361737142857.14,41.55,41.3,73.3,8.31,25.83,6.92,0.73,58.31,1,0.42,41.69,22.03,23.16,16.71,16.59,16.59,33457.34,10706349,33697.51,10783204,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.31,42.67,30,46.88,111,0x7f0c92200000,0x7f0c9258d000,3723264,20,26,3636.0,0.0,0.0
cfd,missile0.2M,h_normals,2,cuda_compute_flux,855384615.38,41.3,92497,1264741300.37,41.55,72800,41.55,82027.94,36.6,33.21,1.63,1.45,1.64,41.08,41.08,361737142857.14,41.55,41.3,73.3,8.31,25.83,6.92,0.73,58.31,1,0.42,41.69,22.03,23.16,16.71,16.59,16.59,33457.34,10706349,33697.51,10783204,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.31,42.67,30,46.88,111,0x7f0c92600000,0x7f0c930a7000,11169792,65,34,10908.0,0.0,0.0
