InputData,Kernel,Data,DataID,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,Costs,label
193K,cuda_compute_flux,h_elements_surrounding_elements,1,853553352.414884,42.013953488372096,75625.11627906977,1259914435.4074414,43.38976744186048,59753.67441860465,43.38976744186048,68291.49023255815,30.696046511627898,34.22,1.3479069767441858,1.223255813953488,1.3527906976744184,33.82837209302326,33.82837209302326,367192776126.3772,43.38976744186048,42.013953488372096,75.1446511627907,7.253953488372092,24.00744186046511,6.523720930232557,0.5560465116279072,65.80744186046512,1.0,0.3420930232558139,34.19255813953489,26.175348837209306,27.34441860465116,19.201627906976746,19.126511627906975,19.126511627906975,23030.33906976744,7369708.7441860465,23124.826279069766,7399944.465116279,192.0,1008.0,60.0,0.0,0.0,0.0,193536.0,2.519999999999999,32.0,5.0,32.0,10.0,25.83255813953488,40.36372093023256,30.0,46.88000000000007,111,0x7f5d52200000,0x7f5d524f4000,3096576,20,33,3024.0,0.0,0.0,"0.28120410204081625, 0.2812744897959184, 0.281068387755102, 0.2812705510204082, 0.5329242857142856, 0.5335327346938776, 0.28128730612244895", 1
193K,cuda_compute_flux,h_normals,2,853553352.414884,42.013953488372096,75625.11627906977,1259914435.4074414,43.38976744186048,59753.67441860465,43.38976744186048,68291.49023255815,30.696046511627898,34.22,1.3479069767441858,1.223255813953488,1.3527906976744184,33.82837209302326,33.82837209302326,367192776126.3772,43.38976744186048,42.013953488372096,75.1446511627907,7.253953488372092,24.00744186046511,6.523720930232557,0.5560465116279072,65.80744186046512,1.0,0.3420930232558139,34.19255813953489,26.175348837209306,27.34441860465116,19.201627906976746,19.126511627906975,19.126511627906975,23030.33906976744,7369708.7441860465,23124.826279069766,7399944.465116279,192.0,1008.0,60.0,0.0,0.0,0.0,193536.0,2.519999999999999,32.0,5.0,32.0,10.0,25.83255813953488,40.36372093023256,30.0,46.88000000000007,111,0x7f5d52600000,0x7f5d52edc000,9289728,58,20,9072.0,0.0,0.0,"0.12049985714285712, 0.120960387755102, 0.12075420408163266, 0.1209729591836735, 0.9336189183673469, 0.9347213265306125, 0.12103420408163268", 2
193K,cuda_compute_step_factor,h_areas,0,825372380.9440001,53.58933333333333,16933.466666666667,1219076353.762,53.58933333333333,13868.8,16.467333333333332,13645.133333333333,24.16333333333333,13.303333333333335,1.184666666666667,0.9600000000000002,1.1953333333333336,29.88333333333333,29.88333333333333,452790535928.9853,16.467333333333332,53.58933333333333,14.83666666666667,6.801333333333332,0.0,11.671999999999995,0.7299999999999999,69.58333333333331,1.0,0.30266666666666675,30.41666666666667,25.259333333333334,27.116,38.846,38.537333333333336,38.537333333333336,4047.6693333333337,1295254.2666666666,4080.746,1305838.866666667,192.0,1008.0,20.0,0.0,0.0,0.0,193536.0,1.2600000000000002,32.0,14.0,32.0,10.0,45.91933333333333,71.75,60.0,93.75,111,0x7f5d52000000,0x7f5d520bd000,774144,5,60,1024.0,0.0,0.0,"0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612245, 0.075783693877551, 0.07640495918367345, 0.009438163265306122", 0
193K,cuda_compute_step_factor,h_elements_surrounding_elements,1,825372380.9440001,53.58933333333333,16933.466666666667,1219076353.762,53.58933333333333,13868.8,16.467333333333332,13645.133333333333,24.16333333333333,13.303333333333335,1.184666666666667,0.9600000000000002,1.1953333333333336,29.88333333333333,29.88333333333333,452790535928.9853,16.467333333333332,53.58933333333333,14.83666666666667,6.801333333333332,0.0,11.671999999999995,0.7299999999999999,69.58333333333331,1.0,0.30266666666666675,30.41666666666667,25.259333333333334,27.116,38.846,38.537333333333336,38.537333333333336,4047.6693333333337,1295254.2666666666,4080.746,1305838.866666667,192.0,1008.0,20.0,0.0,0.0,0.0,193536.0,1.2600000000000002,32.0,14.0,32.0,10.0,45.91933333333333,71.75,60.0,93.75,111,0x7f5d52200000,0x7f5d524f4000,3096576,20,33,3024.0,0.0,0.0,"0.028324734693877546, 0.028412081632653057, 0.028417102040816315, 0.028417693877551022, 0.028305367346938778, 0.028355959183673472, 0.02839112244897959", 0
193K,cuda_compute_step_factor,h_normals,2,825372380.9440001,53.58933333333333,16933.466666666667,1219076353.762,53.58933333333333,13868.8,16.467333333333332,13645.133333333333,24.16333333333333,13.303333333333335,1.184666666666667,0.9600000000000002,1.1953333333333336,29.88333333333333,29.88333333333333,452790535928.9853,16.467333333333332,53.58933333333333,14.83666666666667,6.801333333333332,0.0,11.671999999999995,0.7299999999999999,69.58333333333331,1.0,0.30266666666666675,30.41666666666667,25.259333333333334,27.116,38.846,38.537333333333336,38.537333333333336,4047.6693333333337,1295254.2666666666,4080.746,1305838.866666667,192.0,1008.0,20.0,0.0,0.0,0.0,193536.0,1.2600000000000002,32.0,14.0,32.0,10.0,45.91933333333333,71.75,60.0,93.75,111,0x7f5d52600000,0x7f5d52edc000,9289728,58,20,9072.0,0.0,0.0,"0.028548877551020407, 0.028369510204081645, 0.02838402040816326, 0.02838936734693878, 0.02826191836734693, 0.02827475510204082, 0.028395612244897957", 4
193K,cuda_time_step,h_areas,0,831479636.2428571,74.28666666666669,25829.761904761905,1234655764.643095,74.28666666666669,20868.571428571428,24.651904761904763,20763.95666666667,5.916666666666668,16.024047619047618,0.29071428571428554,0.23500000000000015,0.2947619047619047,7.335952380952381,7.335952380952381,632200663609.3132,24.651904761904763,74.28666666666669,31.34999999999999,5.579999999999997,0.0,12.345952380952385,0.12595238095238095,92.62857142857142,1.0,0.0707142857142857,7.371428571428572,30.799999999999976,32.0,168.7019047619048,167.48619047619047,167.48619047619047,1512.0,483840.0,1522.9816666666668,487354.0,192.0,1008.0,22.0,0.0,0.0,0.0,193536.0,1.2599999999999998,32.0,14.0,32.0,10.0,48.72642857142858,76.13523809523808,60.0,93.75,111,0x7f5d52000000,0x7f5d520bd000,774144,5,60,1024.0,0.0,0.0,"0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.01763357142857143, 0.017570448979591837, 0.017567346938775513, 0.017638693877551022", 5
193K,cuda_time_step,h_elements_surrounding_elements,1,831479636.2428571,74.28666666666669,25829.761904761905,1234655764.643095,74.28666666666669,20868.571428571428,24.651904761904763,20763.95666666667,5.916666666666668,16.024047619047618,0.29071428571428554,0.23500000000000015,0.2947619047619047,7.335952380952381,7.335952380952381,632200663609.3132,24.651904761904763,74.28666666666669,31.34999999999999,5.579999999999997,0.0,12.345952380952385,0.12595238095238095,92.62857142857142,1.0,0.0707142857142857,7.371428571428572,30.799999999999976,32.0,168.7019047619048,167.48619047619047,167.48619047619047,1512.0,483840.0,1522.9816666666668,487354.0,192.0,1008.0,22.0,0.0,0.0,0.0,193536.0,1.2599999999999998,32.0,14.0,32.0,10.0,48.72642857142858,76.13523809523808,60.0,93.75,111,0x7f5d52200000,0x7f5d524f4000,3096576,20,33,3024.0,0.0,0.0,"0.017886530612244905, 0.017786469387755098, 0.017781163265306116, 0.01778479591836735, 0.01722095918367347, 0.01722383673469388, 0.017779081632653064", 4
193K,cuda_time_step,h_normals,2,831479636.2428571,74.28666666666669,25829.761904761905,1234655764.643095,74.28666666666669,20868.571428571428,24.651904761904763,20763.95666666667,5.916666666666668,16.024047619047618,0.29071428571428554,0.23500000000000015,0.2947619047619047,7.335952380952381,7.335952380952381,632200663609.3132,24.651904761904763,74.28666666666669,31.34999999999999,5.579999999999997,0.0,12.345952380952385,0.12595238095238095,92.62857142857142,1.0,0.0707142857142857,7.371428571428572,30.799999999999976,32.0,168.7019047619048,167.48619047619047,167.48619047619047,1512.0,483840.0,1522.9816666666668,487354.0,192.0,1008.0,22.0,0.0,0.0,0.0,193536.0,1.2599999999999998,32.0,14.0,32.0,10.0,48.72642857142858,76.13523809523808,60.0,93.75,111,0x7f5d52600000,0x7f5d52edc000,9289728,58,20,9072.0,0.0,0.0,"0.017992469387755106, 0.01782477551020408, 0.017800265306122453, 0.017828387755102044, 0.017098714285714287, 0.01710063265306122, 0.017817591836734693", 5
missile0.2M,cuda_compute_flux,h_areas,0,858674514.1641864,43.61697674418605,87594.04651162791,1268816808.2041855,43.627906976744185,68736.0,43.4939534883721,77377.89860465117,32.62279069767441,35.06767441860464,1.4646511627906973,1.2997674418604652,1.4702325581395348,36.7667441860465,36.7667441860465,383473059678.78,43.4939534883721,43.61697674418605,73.53372093023256,7.593023255813954,26.306279069767452,6.873953488372091,0.6167441860465115,62.92930232558138,1.0,0.3704651162790695,37.07069767441861,25.56046511627907,26.71209302325582,18.65953488372093,18.57953488372092,18.57953488372092,28345.566279069764,9070581.069767442,28469.852558139522,9110352.279069768,192.0,1212.0,60.0,0.0,0.0,0.0,232704.0,3.0300000000000007,32.0,5.0,32.0,10.0,27.29837209302326,42.65418604651163,30.0,46.88000000000007,111,0x7f0c92000000,0x7f0c920e3400,930816,5,52,1024.0,0.0,0.0,"0.427342081632653, 0.4274373265306122, 0.4272182448979592, 0.4273668571428572, 0.4271635918367345, 0.4271814897959184, 0.4272455510204082", 2
missile0.2M,cuda_compute_flux,h_elements_surrounding_elements,1,858674514.1641864,43.61697674418605,87594.04651162791,1268816808.2041855,43.627906976744185,68736.0,43.4939534883721,77377.89860465117,32.62279069767441,35.06767441860464,1.4646511627906973,1.2997674418604652,1.4702325581395348,36.7667441860465,36.7667441860465,383473059678.78,43.4939534883721,43.61697674418605,73.53372093023256,7.593023255813954,26.306279069767452,6.873953488372091,0.6167441860465115,62.92930232558138,1.0,0.3704651162790695,37.07069767441861,25.56046511627907,26.71209302325582,18.65953488372093,18.57953488372092,18.57953488372092,28345.566279069764,9070581.069767442,28469.852558139522,9110352.279069768,192.0,1212.0,60.0,0.0,0.0,0.0,232704.0,3.0300000000000007,32.0,5.0,32.0,10.0,27.29837209302326,42.65418604651163,30.0,46.88000000000007,111,0x7f0c92200000,0x7f0c9258d000,3723264,20,26,3636.0,0.0,0.0,"0.341487612244898, 0.3415898775510203, 0.34228110204081635, 0.34153216326530617, 0.640933897959184, 0.6415712244897959, 0.3415592653061224", 1
missile0.2M,cuda_compute_flux,h_normals,2,858674514.1641864,43.61697674418605,87594.04651162791,1268816808.2041855,43.627906976744185,68736.0,43.4939534883721,77377.89860465117,32.62279069767441,35.06767441860464,1.4646511627906973,1.2997674418604652,1.4702325581395348,36.7667441860465,36.7667441860465,383473059678.78,43.4939534883721,43.61697674418605,73.53372093023256,7.593023255813954,26.306279069767452,6.873953488372091,0.6167441860465115,62.92930232558138,1.0,0.3704651162790695,37.07069767441861,25.56046511627907,26.71209302325582,18.65953488372093,18.57953488372092,18.57953488372092,28345.566279069764,9070581.069767442,28469.852558139522,9110352.279069768,192.0,1212.0,60.0,0.0,0.0,0.0,232704.0,3.0300000000000007,32.0,5.0,32.0,10.0,27.29837209302326,42.65418604651163,30.0,46.88000000000007,111,0x7f0c92600000,0x7f0c930a7000,11169792,65,34,10908.0,0.0,0.0,"0.14837883673469388, 0.14898661224489798, 0.1489739183673469, 0.1490305714285714, 1.122788285714286, 1.1236609387755103, 0.14913597959183675", 6
missile0.2M,cuda_compute_step_factor,h_areas,0,798762687.6653334,58.93200000000001,18156.33333333333,1178970274.0246663,58.93200000000001,15362.133333333333,18.456000000000003,15667.004666666673,27.798000000000005,13.927333333333335,1.2746666666666668,1.102666666666667,1.2846666666666668,32.09,32.09,481958183420.4993,18.456000000000003,58.93200000000001,14.737333333333336,7.731333333333334,0.0,12.025333333333332,0.782,67.45866666666667,1.0,0.3253333333333333,32.54133333333333,24.642666666666663,26.46533333333333,37.367333333333335,37.083333333333336,37.083333333333336,4990.515333333334,1596965.133333333,5029.245999999999,1609358.4,192.0,1212.0,20.0,0.0,0.0,0.0,232704.0,1.5199999999999998,32.0,14.0,32.0,10.0,47.298,73.90133333333334,60.0,93.75,111,0x7f0c92000000,0x7f0c920e3400,930816,5,52,1024.0,0.0,0.0,"0.012165999999999996, 0.01272034693877551, 0.012707489795918367, 0.012743795918367346, 0.09084330612244901, 0.09158100000000002, 0.012765918367346937", 0
missile0.2M,cuda_compute_step_factor,h_elements_surrounding_elements,1,798762687.6653334,58.93200000000001,18156.33333333333,1178970274.0246663,58.93200000000001,15362.133333333333,18.456000000000003,15667.004666666673,27.798000000000005,13.927333333333335,1.2746666666666668,1.102666666666667,1.2846666666666668,32.09,32.09,481958183420.4993,18.456000000000003,58.93200000000001,14.737333333333336,7.731333333333334,0.0,12.025333333333332,0.782,67.45866666666667,1.0,0.3253333333333333,32.54133333333333,24.642666666666663,26.46533333333333,37.367333333333335,37.083333333333336,37.083333333333336,4990.515333333334,1596965.133333333,5029.245999999999,1609358.4,192.0,1212.0,20.0,0.0,0.0,0.0,232704.0,1.5199999999999998,32.0,14.0,32.0,10.0,47.298,73.90133333333334,60.0,93.75,111,0x7f0c92200000,0x7f0c9258d000,3723264,20,26,3636.0,0.0,0.0,"0.035092428571428566, 0.03507008163265307, 0.03519297959183673, 0.035078938775510195, 0.03499975510204082, 0.03500936734693877, 0.03508430612244898", 0
missile0.2M,cuda_compute_step_factor,h_normals,2,798762687.6653334,58.93200000000001,18156.33333333333,1178970274.0246663,58.93200000000001,15362.133333333333,18.456000000000003,15667.004666666673,27.798000000000005,13.927333333333335,1.2746666666666668,1.102666666666667,1.2846666666666668,32.09,32.09,481958183420.4993,18.456000000000003,58.93200000000001,14.737333333333336,7.731333333333334,0.0,12.025333333333332,0.782,67.45866666666667,1.0,0.3253333333333333,32.54133333333333,24.642666666666663,26.46533333333333,37.367333333333335,37.083333333333336,37.083333333333336,4990.515333333334,1596965.133333333,5029.245999999999,1609358.4,192.0,1212.0,20.0,0.0,0.0,0.0,232704.0,1.5199999999999998,32.0,14.0,32.0,10.0,47.298,73.90133333333334,60.0,93.75,111,0x7f0c92600000,0x7f0c930a7000,11169792,65,34,10908.0,0.0,0.0,"0.0352405918367347, 0.03508851020408162, 0.03507961224489795, 0.035083, 0.03498028571428572, 0.03496834693877551, 0.035087510204081636", 5
missile0.2M,cuda_time_step,h_areas,0,839151238.5985714,78.84952380952379,28661.523809523813,1246306423.5616665,78.84952380952379,22927.23809523809,26.71333333333333,24301.08428571428,6.40547619047619,16.461666666666666,0.2990476190476192,0.25523809523809515,0.3009523809523811,7.5269047619047615,7.5269047619047615,677358989617.3771,26.71333333333333,78.84952380952379,31.3345238095238,6.048571428571428,0.0,12.392857142857142,0.13309523809523802,92.44047619047619,1.0,0.07785714285714287,7.5595238095238075,30.799999999999976,32.0,164.9114285714286,163.9290476190476,163.9290476190476,1818.0,581760.0,1828.906666666667,585250.0,192.0,1212.0,22.0,0.0,0.0,0.0,232704.0,1.5200000000000014,32.0,14.0,32.0,10.0,49.40357142857143,77.19404761904758,60.0,93.75,111,0x7f0c92000000,0x7f0c920e3400,930816,5,52,1024.0,0.0,0.0,"0.020438897959183668, 0.020653408163265306, 0.020648795918367345, 0.02064765306122449, 0.020601244897959184, 0.020597836734693883, 0.0206495306122449", 0
