==79074== NVPROF is profiling process 79074, command: ./lassen-executable/hotspot_11 1024 2 2 ../../data/hotspot/temp_1024 ../../data/hotspot/power_1024 output.out
==79074== Profiling application: ./lassen-executable/hotspot_11 1024 2 2 ../../data/hotspot/temp_1024 ../../data/hotspot/power_1024 output.out
WG size of kernel = 16 X 16
alloc FilesavingTemp
Number of allocated Data = 1
in api range: 0x200060000000 0x200060400000
alloc FilesavingPower
Number of allocated Data = 2
in api range: 0x200060400000 0x200060800000
pyramidHeight: 2
gridSize: [1024, 1024]
border:[2, 2]
blockGrid:[86, 86]
targetBlock:[12, 12]
Number of allocated Data = 3
in api range: 0x200060800000 0x200060c00000
Start computing the transient temperature
Ending simulation
removing 0 1
==79074== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.38412s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060800000  [Unified Memory CPU page faults]
1.38423s  4.0960us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060100000  [Unified Memory Memcpy HtoD]
1.38423s  17.056us                    -               -         -         -         -  Tesla V100-SXM2         -         -          960.000000KB   0x200060110000  [Unified Memory Memcpy HtoD]
1.38432s  3.8720us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060500000  [Unified Memory Memcpy HtoD]
1.38432s  17.984us                    -               -         -         -         -  Tesla V100-SXM2         -         -          960.000000KB   0x200060510000  [Unified Memory Memcpy HtoD]
1.38436s  131.10us                    -               -         -         -         -  Tesla V100-SXM2         -         -                     2   0x200060900000  [Unified Memory GPU page faults]
1.38443s  3.5520us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060800000  [Unified Memory Memcpy HtoD]
1.38447s  3.3280us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060800000  [Unified Memory Memcpy DtoH]
1.38447s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060800000  [Unified Memory CPU page faults]
1.38451s  337.60us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   244   0x200060200000  [Unified Memory GPU page faults]
