Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
cfd,193K,h_areas,0,cuda_compute_step_factor,809523809.52,51.44,17688,1192415223.67,51.44,14784,15.75,13405.26,21.33,13.53,1.11,0.85,1.12,28.05,28.05,426445887445.89,15.75,51.44,14.34,6.31,0.0,11.96,0.66,70.81,1,0.29,29.19,25.44,27.28,41.33,40.99,40.99,3728.97,1193272,3759.91,1203170,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.06,70.4,60,93.75,111,0x200060000000,0x2000600bd000,774144,5,636,1024.0,0.0,0.0
cfd,193K,h_elements_surrounding_elements,1,cuda_compute_step_factor,809523809.52,51.44,17688,1192415223.67,51.44,14784,15.75,13405.26,21.33,13.53,1.11,0.85,1.12,28.05,28.05,426445887445.89,15.75,51.44,14.34,6.31,0.0,11.96,0.66,70.81,1,0.29,29.19,25.44,27.28,41.33,40.99,40.99,3728.97,1193272,3759.91,1203170,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.06,70.4,60,93.75,111,0x200060200000,0x2000604f4000,3096576,21,379,3072.0,0.0,0.0
cfd,193K,h_normals,2,cuda_compute_step_factor,809523809.52,51.44,17688,1192415223.67,51.44,14784,15.75,13405.26,21.33,13.53,1.11,0.85,1.12,28.05,28.05,426445887445.89,15.75,51.44,14.34,6.31,0.0,11.96,0.66,70.81,1,0.29,29.19,25.44,27.28,41.33,40.99,40.99,3728.97,1193272,3759.91,1203170,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.06,70.4,60,93.75,111,0x200060600000,0x200060edc000,9289728,58,151,9088.0,0.0,0.0
cfd,193K,h_areas,0,cuda_compute_step_factor,822510822.51,50.64,17976,1211602633.48,50.64,14784,15.48,13408.49,20.62,13.53,1.09,0.82,1.1,27.54,27.54,426541125541.13,15.48,50.64,14.34,6.18,0.0,11.51,0.65,71.89,1,0.28,28.11,25.88,27.74,41.29,40.96,40.96,3662.84,1172109,3692.46,1181587,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.37,70.89,60,93.75,111,0x200060000000,0x2000600bd000,774144,5,636,1024.0,0.0,0.0
cfd,193K,h_elements_surrounding_elements,1,cuda_compute_step_factor,822510822.51,50.64,17976,1211602633.48,50.64,14784,15.48,13408.49,20.62,13.53,1.09,0.82,1.1,27.54,27.54,426541125541.13,15.48,50.64,14.34,6.18,0.0,11.51,0.65,71.89,1,0.28,28.11,25.88,27.74,41.29,40.96,40.96,3662.84,1172109,3692.46,1181587,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.37,70.89,60,93.75,111,0x200060200000,0x2000604f4000,3096576,21,379,3072.0,0.0,0.0
cfd,193K,h_normals,2,cuda_compute_step_factor,822510822.51,50.64,17976,1211602633.48,50.64,14784,15.48,13408.49,20.62,13.53,1.09,0.82,1.1,27.54,27.54,426541125541.13,15.48,50.64,14.34,6.18,0.0,11.51,0.65,71.89,1,0.28,28.11,25.88,27.74,41.29,40.96,40.96,3662.84,1172109,3692.46,1181587,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.37,70.89,60,93.75,111,0x200060600000,0x200060edc000,9289728,58,151,9088.0,0.0,0.0
cfd,missile0.2M,h_areas,0,cuda_compute_step_factor,831106870.23,52.47,20643,1226045642.49,52.47,16768,16.22,15855.25,25.39,13.76,1.3,1.0,1.32,32.91,32.91,446515267175.57,16.22,52.47,14.33,7.08,0.0,12.66,0.85,66.59,1,0.33,33.41,28.19,32.0,38.34,37.9,37.9,5158.57,1650744,5218.6,1669951,192,1212,20,0,0,0,232704,1.52,32,14,32,10,48.52,75.81,60,93.75,111,0x200060000000,0x2000600e3400,930816,5,884,1024.0,0.0,0.0
cfd,missile0.2M,h_elements_surrounding_elements,1,cuda_compute_step_factor,831106870.23,52.47,20643,1226045642.49,52.47,16768,16.22,15855.25,25.39,13.76,1.3,1.0,1.32,32.91,32.91,446515267175.57,16.22,52.47,14.33,7.08,0.0,12.66,0.85,66.59,1,0.33,33.41,28.19,32.0,38.34,37.9,37.9,5158.57,1650744,5218.6,1669951,192,1212,20,0,0,0,232704,1.52,32,14,32,10,48.52,75.81,60,93.75,111,0x200060200000,0x20006058d000,3723264,20,271,3648.0,0.0,0.0
cfd,missile0.2M,h_normals,2,cuda_compute_step_factor,831106870.23,52.47,20643,1226045642.49,52.47,16768,16.22,15855.25,25.39,13.76,1.3,1.0,1.32,32.91,32.91,446515267175.57,16.22,52.47,14.33,7.08,0.0,12.66,0.85,66.59,1,0.33,33.41,28.19,32.0,38.34,37.9,37.9,5158.57,1650744,5218.6,1669951,192,1212,20,0,0,0,232704,1.52,32,14,32,10,48.52,75.81,60,93.75,111,0x200060600000,0x2000610a7000,11169792,65,337,10944.0,0.0,0.0
cfd,missile0.2M,h_areas,0,cuda_compute_flux,829936095.2,42.68,89477,1224972913.91,42.68,72608,42.41,77684.48,34.44,34.72,1.56,1.37,1.58,39.42,39.42,362683561040.11,42.41,42.68,73.52,7.97,26.63,7.08,0.69,60.01,1,0.4,39.99,28.52,31.37,17.84,17.7,17.7,30380.09,9721630,30625.64,9800205,192,1212,58,0,0,0,232704,3.03,32,5,32,10,27.68,43.25,30,46.88,111,0x200060000000,0x2000600e3400,930816,5,884,1024.0,0.0,0.0
