kernel,InputData,advise0,advise1,advise2,advise3,advise4,advise5,variant,TimePerc,Time,calls,AVG,MIN,MAX
Kernel,graph1MW.6,3,6,6,0,0,0,366000,41.25,3.407103,12,0.283925,6.24E-03,1.2464
Kernel,graph1MW.6,2,0,6,6,0,0,206600,41.45,3.411162,12,0.284263,6.08E-03,1.088574
Kernel,graph1MW.6,1,3,3,0,0,0,133000,41.59,3.425596,12,0.285466,6.21E-03,1.266343
Kernel,graph1MW.6,2,0,6,1,0,0,206100,42.76,3.42617,12,0.285514,6.11E-03,1.065546
Kernel,graph1MW.6,2,1,0,6,0,0,210600,44.23,3.433754,12,0.286146,6.08E-03,1.133118
Kernel,graph1MW.6,3,0,1,3,0,0,301300,41.32,3.441561,12,0.286796,6.11E-03,1.232934
Kernel,graph1MW.6,6,1,1,0,0,0,611000,44.44,3.446743,12,0.287228,6.18E-03,1.254502
Kernel,graph1MW.6,6,0,1,3,0,0,601300,42.86,3.449602,12,0.287466,6.14E-03,1.260897
Kernel,graph1MW.6,3,3,6,0,0,0,336000,42.11,3.451235,12,0.287602,6.21E-03,1.298913
Kernel,graph1MW.6,6,0,6,1,0,0,606100,41.64,3.457471,12,0.288122,6.14E-03,1.234944
Kernel,graph1MW.6,2,3,0,6,0,0,230600,44.8,3.463516,12,0.288626,6.14E-03,1.136799
Kernel,graph1MW.6,2,6,0,6,0,0,260600,45.37,3.465055,12,0.288754,6.18E-03,1.174784
Kernel,graph1MW.6,3,0,0,1,0,0,300100,44.5,3.465883,12,0.288823,6.05E-03,1.225351
Kernel,graph1MW.6,2,0,1,0,0,0,201000,38.51,3.470528,12,0.28921,6.02E-03,1.207968
Kernel,graph1MW.6,6,3,0,0,0,0,630000,43.54,3.472345,12,0.289362,6.11E-03,1.169864
Kernel,graph1MW.6,2,6,0,3,0,0,260300,44.16,3.477011,12,0.28975,6.21E-03,1.12358
Kernel,graph1MW.6,4,0,0,0,0,0,400000,42.14,3.479735,12,0.289977,7.81E-03,1.552736
Kernel,graph1MW.6,1,0,1,6,0,0,101600,43.14,3.482075,12,0.290172,6.05E-03,1.300127
Kernel,graph1MW.6,6,0,6,6,0,0,606600,41.65,3.485055,12,0.290421,6.08E-03,1.283423
Kernel,graph1MW.6,1,0,3,1,0,0,103100,41.6,3.488063,12,0.290671,6.14E-03,1.267135
Kernel,graph1MW.6,1,0,0,6,0,0,100600,43.57,3.489662,12,0.290805,6.30E-03,1.221183
Kernel,graph1MW.6,1,1,6,0,0,0,116000,41.52,3.507033,12,0.292252,6.08E-03,1.281765
Kernel,graph1MW.6,3,0,3,6,0,0,303600,43.2,3.515902,12,0.292991,6.18E-03,1.263167
Kernel,graph1MW.6,1,0,3,6,0,0,103600,42.22,3.516319,12,0.293026,6.11E-03,1.3072
Kernel,graph1MW.6,6,1,0,0,0,0,610000,43.64,3.525344,12,0.293778,6.11E-03,1.2096
Kernel,graph1MW.6,3,0,1,1,0,0,301100,42.9,3.52642,12,0.293868,6.17E-03,1.199303
Kernel,graph1MW.6,2,0,3,6,0,0,203600,42.34,3.527969,12,0.293997,6.18E-03,1.081888
Kernel,graph1MW.6,1,6,1,0,0,0,161000,43.06,3.52825,12,0.29402,6.18E-03,1.186046
Kernel,graph1MW.6,3,0,6,3,0,0,306300,42.68,3.529591,12,0.294132,6.14E-03,1.271485
Kernel,graph1MW.6,6,0,3,3,0,0,603300,41.88,3.540128,12,0.29501,6.05E-03,1.306144
Kernel,graph1MW.6,1,0,0,3,0,0,100300,44.44,3.541975,12,0.295164,6.18E-03,1.198109
Kernel,graph1MW.6,3,0,3,3,0,0,303300,42.65,3.550748,12,0.295895,6.11E-03,1.316062
Kernel,graph1MW.6,3,0,1,6,0,0,301600,43.03,3.5829,12,0.298575,6.05E-03,1.319292
Kernel,graph1MW.6,6,1,6,0,0,0,616000,42.82,3.595263,12,0.299605,6.08E-03,1.177184
Kernel,graph1MW.6,2,6,6,1,0,0,266100,43.33,3.596445,12,0.299703,6.18E-03,1.133663
Kernel,graph1MW.6,2,1,3,6,0,0,213600,42.96,3.617435,12,0.301452,6.21E-03,1.108255
Kernel,graph1MW.6,1,6,0,6,0,0,160600,45.74,3.622147,12,0.301845,6.24E-03,1.253505
Kernel,graph1MW.6,2,1,0,3,0,0,210300,45.71,3.631567,12,0.30263,6.50E-03,1.177766
Kernel,graph1MW.6,2,3,6,3,0,0,236300,41.59,3.637372,12,0.303114,6.27E-03,1.117055
Kernel,graph1MW.6,2,3,6,1,0,0,236100,43.56,3.64147,12,0.303455,6.24E-03,1.147807
Kernel,graph1MW.6,2,6,3,6,0,0,263600,43.91,3.647071,12,0.303922,6.14E-03,1.138112
Kernel,graph1MW.6,3,1,0,3,0,0,310300,46.67,3.647509,12,0.303959,6.11E-03,1.255335
Kernel,graph1MW.6,6,6,0,1,0,0,660100,45.48,3.650778,12,0.304231,6.18E-03,1.234185
Kernel,graph1MW.6,2,3,1,3,0,0,231300,43.18,3.657405,12,0.304783,6.18E-03,1.149503
Kernel,graph1MW.6,3,1,6,0,0,0,316000,43.02,3.662752,12,0.305229,6.18E-03,1.291232
Kernel,graph1MW.6,2,3,1,1,0,0,231100,43.7,3.666516,12,0.305543,6.08E-03,1.149479
Kernel,graph1MW.6,3,1,1,1,0,0,311100,45.63,3.667584,12,0.305632,6.18E-03,1.214016
Kernel,graph1MW.6,2,0,0,6,0,0,200600,43.59,3.670839,12,0.305903,6.08E-03,1.313862
Kernel,graph1MW.6,6,1,3,0,0,0,613000,42.56,3.684895,12,0.307074,6.21E-03,1.195903
Kernel,graph1MW.6,1,3,0,1,0,0,130100,46.61,3.692256,12,0.307688,6.14E-03,1.225408
Kernel,graph1MW.6,2,3,3,3,0,0,233300,44.09,3.694845,12,0.307903,6.21E-03,1.150335
Kernel,graph1MW.6,6,1,1,1,0,0,611100,45.75,3.700305,12,0.308358,6.11E-03,1.257627
Kernel,graph1MW.6,2,6,6,3,0,0,266300,43.07,3.701056,12,0.308421,6.18E-03,1.155968
Kernel,graph1MW.6,4,0,1,0,0,0,401000,43.2,3.703646,12,0.308637,9.15E-03,1.553151
Kernel,graph1MW.6,1,1,1,0,0,0,111000,46.43,3.704213,12,0.308684,6.18E-03,1.199336
Kernel,graph1MW.6,6,3,0,1,0,0,630100,46.25,3.705215,12,0.308767,6.11E-03,1.245151
Kernel,graph1MW.6,0,0,2,0,0,0,2000,35.75,3.708324,12,0.309027,6.08E-03,1.341313
Kernel,graph1MW.6,3,0,6,1,0,0,306100,43.28,3.71488,12,0.309573,6.05E-03,1.18944
Kernel,graph1MW.6,1,0,1,3,0,0,101300,43.88,3.72016,12,0.310013,6.18E-03,1.19888
Kernel,graph1MW.6,2,6,1,1,0,0,261100,43.94,3.72272,12,0.310226,6.18E-03,1.131616
Kernel,graph1MW.6,2,1,6,6,0,0,216600,44.08,3.725435,12,0.310452,6.24E-03,1.15939
Kernel,graph1MW.6,3,3,0,3,0,0,330300,45.01,3.726689,12,0.310557,6.11E-03,1.27376
Kernel,graph1MW.6,6,6,3,0,0,0,663000,44.25,3.729901,12,0.310825,6.21E-03,1.183364
Kernel,graph1MW.6,4,0,3,0,0,0,403000,42.78,3.730081,12,0.31084,8.93E-03,1.548096
Kernel,graph1MW.6,3,1,0,6,0,0,310600,47.02,3.730177,12,0.310848,6.11E-03,1.248096
Kernel,graph1MW.6,1,0,6,6,0,0,106600,44.2,3.731732,12,0.310977,6.05E-03,1.152988
Kernel,graph1MW.6,1,3,0,6,0,0,130600,46.81,3.751969,12,0.312664,6.18E-03,1.287872
Kernel,graph1MW.6,3,6,0,3,0,0,360300,44.51,3.75398,12,0.312831,6.14E-03,1.26691
Kernel,graph1MW.6,3,3,0,1,0,0,330100,46.83,3.754417,12,0.312868,6.14E-03,1.283013
Kernel,graph1MW.6,6,3,0,3,0,0,630300,46.25,3.75869,12,0.313224,6.11E-03,1.291936
Kernel,graph1MW.6,4,0,6,0,0,0,406000,43.98,3.771069,12,0.314255,8.90E-03,1.585631
Kernel,graph1MW.6,6,1,1,6,0,0,611600,47.83,3.771681,12,0.314306,6.05E-03,1.252992
Kernel,graph1MW.6,3,3,1,6,0,0,331600,43.93,3.775412,12,0.314617,6.14E-03,1.201832
Kernel,graph1MW.6,3,3,0,6,0,0,330600,46.25,3.776756,12,0.314729,6.18E-03,1.332262
Kernel,graph1MW.6,2,3,3,6,0,0,233600,44.66,3.777331,12,0.314777,6.08E-03,1.166279
Kernel,graph1MW.6,3,6,0,1,0,0,360100,47.05,3.781588,12,0.315132,6.08E-03,1.290661
Kernel,graph1MW.6,6,0,1,6,0,0,601600,44.45,3.784549,12,0.315379,6.18E-03,1.210817
Kernel,graph1MW.6,1,6,1,3,0,0,161300,44.49,3.793251,12,0.316104,6.08E-03,1.221857
Kernel,graph1MW.6,1,6,6,1,0,0,166100,45.28,3.799618,12,0.316634,6.11E-03,1.277569
Kernel,graph1MW.6,6,0,3,6,0,0,603600,43.02,3.800352,12,0.316696,6.21E-03,1.198816
Kernel,graph1MW.6,6,3,3,1,0,0,633100,45.53,3.809777,12,0.317481,6.24E-03,1.233351
Kernel,graph1MW.6,6,3,0,6,0,0,630600,46.23,3.813089,12,0.317757,6.14E-03,1.319392
Kernel,graph1MW.6,6,3,6,1,0,0,636100,44.6,3.820031,12,0.318335,6.14E-03,1.190399
Kernel,graph1MW.6,3,6,3,1,0,0,363100,45.2,3.824702,12,0.318725,6.21E-03,1.233503
Kernel,graph1MW.6,2,3,3,1,0,0,233100,44.09,3.83215,12,0.319345,6.14E-03,1.148637
Kernel,graph1MW.6,2,1,3,1,0,0,213100,43.36,3.844922,12,0.32041,6.11E-03,1.148574
Kernel,graph1MW.6,6,0,3,1,0,0,603100,43.75,3.848888,12,0.32074,6.08E-03,1.23187
Kernel,graph1MW.6,3,3,6,1,0,0,336100,45.27,3.858224,12,0.321518,6.18E-03,1.219079
Kernel,graph1MW.6,3,6,1,3,0,0,361300,45.25,3.864316,12,0.322026,6.02E-03,1.266879
Kernel,graph1MW.6,3,1,1,3,0,0,311300,47.66,3.872417,12,0.322701,6.08E-03,1.298016
Kernel,graph1MW.6,6,3,6,3,0,0,636300,45.63,3.877858,12,0.323154,6.34E-03,1.22688
Kernel,graph1MW.6,6,1,1,3,0,0,611300,47.83,3.885824,12,0.323818,6.14E-03,1.23744
Kernel,graph1MW.6,6,6,6,1,0,0,666100,44.6,3.886599,12,0.323883,6.14E-03,1.253122
Kernel,graph1MW.6,6,6,3,6,0,0,663600,45.3,3.893209,12,0.324434,6.21E-03,1.294921
Kernel,graph1MW.6,6,6,3,1,0,0,663100,44.35,3.894288,12,0.324524,6.14E-03,1.237188
Kernel,graph1MW.6,6,3,3,3,0,0,633300,46.34,3.897663,12,0.324805,6.08E-03,1.318207
Kernel,graph1MW.6,1,6,3,1,0,0,163100,45.13,3.906652,12,0.325554,6.08E-03,1.249278
Kernel,graph1MW.6,1,0,6,3,0,0,106300,45.04,3.907535,12,0.325627,6.02E-03,1.318341
Kernel,graph1MW.6,1,3,1,3,0,0,131300,44.97,3.908033,12,0.325669,6.21E-03,1.288352
Kernel,graph1MW.6,2,1,3,3,0,0,213300,44.98,3.912216,12,0.326018,6.05E-03,1.063231
Kernel,graph1MW.6,3,3,6,6,0,0,336600,45.33,3.914847,12,0.326237,6.18E-03,1.245855
Kernel,graph1MW.6,1,6,0,3,0,0,160300,47.01,3.920671,12,0.326722,6.14E-03,1.146367
