Benchmark,withProf,input,time(s),Mem(KB)
pathfinder,Yes,2000008015,9.52,326784
pathfinder,No,2000008020,1.33,210368
pathfinder,Yes,2000008020,7.11,326784
pathfinder,No,2000001005,1.51,225984
pathfinder,Yes,2000001005,26.70,367872
pathfinder,No,20000010010,1.54,225984
pathfinder,Yes,20000010010,14.93,342656
pathfinder,No,20000010015,1.50,225984
pathfinder,Yes,20000010015,11.02,342464
pathfinder,No,20000010020,1.51,225984
pathfinder,Yes,20000010020,8.75,342336
hotspot,No,64,0.57,147968
hotspot,Yes,64,2.63,258176
hotspot,No,128,0.52,148032
hotspot,Yes,128,2.61,260096
hotspot,No,256,0.59,148544
hotspot,Yes,256,2.66,262080
hotspot,No,512,0.85,150080
hotspot,Yes,512,3.00,266240
hotspot,No,1024,1.89,156224
hotspot,Yes,1024,4.25,277824
hotspot,No,2048,6.11,180800
hotspot,Yes,2048,8.88,315840
hotspot,No,4096,22.88,316928
hotspot,Yes,4096,27.17,463360
hotspot,No,8192,90.05,906752
hotspot,Yes,8192,96.85,1053248
