Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
bfs,graph65536,h_graph_mask,1,Kernel,847269624.57,16.68,23729,1263340799.2,19.23,18752,19.23,16027.71,7.93,21.49,0.41,0.28,0.42,10.45,10.45,144733788395.9,14.89,19.23,85.75,7.93,55.73,5.89,0.15,88.72,1,0.11,11.28,4.1,4.76,52.78,52.17,52.17,1655.31,529700,1674.66,535891,512,128,21,0,0,0,65536,0.4,32,5,32,4,21.53,33.63,64,100,111,0x200060080000,0x200060090000,65536,2,197,192.0,0.0,0.0,0
bfs,graph65536,h_updating_graph_mask,2,Kernel,847269624.57,16.68,23729,1263340799.2,19.23,18752,19.23,16027.71,7.93,21.49,0.41,0.28,0.42,10.45,10.45,144733788395.9,14.89,19.23,85.75,7.93,55.73,5.89,0.15,88.72,1,0.11,11.28,4.1,4.76,52.78,52.17,52.17,1655.31,529700,1674.66,535891,512,128,21,0,0,0,65536,0.4,32,5,32,4,21.53,33.63,64,100,111,0x200060090000,0x2000600a0000,65536,2,0,128.0,0.0,0.0,3
bfs,graph65536,h_graph_visited,3,Kernel,847269624.57,16.68,23729,1263340799.2,19.23,18752,19.23,16027.71,7.93,21.49,0.41,0.28,0.42,10.45,10.45,144733788395.9,14.89,19.23,85.75,7.93,55.73,5.89,0.15,88.72,1,0.11,11.28,4.1,4.76,52.78,52.17,52.17,1655.31,529700,1674.66,535891,512,128,21,0,0,0,65536,0.4,32,5,32,4,21.53,33.63,64,100,111,0x2000600a0000,0x2000600b0000,65536,1,87,192.0,0.0,0.0,0
bfs,graph65536,h_graph_nodes,0,Kernel2,778017241.38,9.57,8619,1160470545.98,9.57,7424,3.71,2043.62,2.3,11.37,0.35,0.08,0.39,9.71,9.71,76267241379.31,2.34,9.57,90.05,2.08,69.22,6.0,0.24,88.95,1,0.11,11.05,20.32,23.16,60.07,54.27,54.27,179.2,57344,198.36,63474,512,128,16,0,0,0,65536,0.4,32,8,32,4,21.26,33.22,64,100,111,0x200060000000,0x200060080000,524288,5,198,576.0,0.0,0.0,4
bfs,graph65536,h_graph_mask,1,Kernel2,778017241.38,9.57,8619,1160470545.98,9.57,7424,3.71,2043.62,2.3,11.37,0.35,0.08,0.39,9.71,9.71,76267241379.31,2.34,9.57,90.05,2.08,69.22,6.0,0.24,88.95,1,0.11,11.05,20.32,23.16,60.07,54.27,54.27,179.2,57344,198.36,63474,512,128,16,0,0,0,65536,0.4,32,8,32,4,21.26,33.22,64,100,111,0x200060080000,0x200060090000,65536,2,197,192.0,0.0,0.0,4
bfs,graph65536,h_updating_graph_mask,2,Kernel2,778017241.38,9.57,8619,1160470545.98,9.57,7424,3.71,2043.62,2.3,11.37,0.35,0.08,0.39,9.71,9.71,76267241379.31,2.34,9.57,90.05,2.08,69.22,6.0,0.24,88.95,1,0.11,11.05,20.32,23.16,60.07,54.27,54.27,179.2,57344,198.36,63474,512,128,16,0,0,0,65536,0.4,32,8,32,4,21.26,33.22,64,100,111,0x200060090000,0x2000600a0000,65536,2,0,128.0,0.0,0.0,2
bfs,graph65536,h_graph_visited,3,Kernel2,778017241.38,9.57,8619,1160470545.98,9.57,7424,3.71,2043.62,2.3,11.37,0.35,0.08,0.39,9.71,9.71,76267241379.31,2.34,9.57,90.05,2.08,69.22,6.0,0.24,88.95,1,0.11,11.05,20.32,23.16,60.07,54.27,54.27,179.2,57344,198.36,63474,512,128,16,0,0,0,65536,0.4,32,8,32,4,21.26,33.22,64,100,111,0x2000600a0000,0x2000600b0000,65536,1,87,192.0,0.0,0.0,1
bfs,graph65536,h_graph_nodes,0,Kernel,859154929.58,18.06,29131,1279291373.24,24.91,22720,24.91,20228.89,7.35,27.34,0.38,0.26,0.38,9.5,9.5,158881690140.85,20.41,24.91,85.44,7.35,53.34,6.12,0.13,90.16,1,0.1,9.84,7.31,9.96,62.84,62.16,62.16,1901.01,608323,1921.63,614923,512,128,21,0,0,0,65536,0.4,32,5,32,4,23.53,36.77,64,100,111,0x200060000000,0x200060080000,524288,5,198,576.0,0.0,0.0,0
bfs,graph65536,h_graph_mask,1,Kernel,859154929.58,18.06,29131,1279291373.24,24.91,22720,24.91,20228.89,7.35,27.34,0.38,0.26,0.38,9.5,9.5,158881690140.85,20.41,24.91,85.44,7.35,53.34,6.12,0.13,90.16,1,0.1,9.84,7.31,9.96,62.84,62.16,62.16,1901.01,608323,1921.63,614923,512,128,21,0,0,0,65536,0.4,32,5,32,4,23.53,36.77,64,100,111,0x200060080000,0x200060090000,65536,2,197,192.0,0.0,0.0,0
bfs,graph65536,h_updating_graph_mask,2,Kernel,859154929.58,18.06,29131,1279291373.24,24.91,22720,24.91,20228.89,7.35,27.34,0.38,0.26,0.38,9.5,9.5,158881690140.85,20.41,24.91,85.44,7.35,53.34,6.12,0.13,90.16,1,0.1,9.84,7.31,9.96,62.84,62.16,62.16,1901.01,608323,1921.63,614923,512,128,21,0,0,0,65536,0.4,32,5,32,4,23.53,36.77,64,100,111,0x200060090000,0x2000600a0000,65536,2,0,128.0,0.0,0.0,3
bfs,graph65536,h_graph_visited,3,Kernel,859154929.58,18.06,29131,1279291373.24,24.91,22720,24.91,20228.89,7.35,27.34,0.38,0.26,0.38,9.5,9.5,158881690140.85,20.41,24.91,85.44,7.35,53.34,6.12,0.13,90.16,1,0.1,9.84,7.31,9.96,62.84,62.16,62.16,1901.01,608323,1921.63,614923,512,128,21,0,0,0,65536,0.4,32,5,32,4,23.53,36.77,64,100,111,0x2000600a0000,0x2000600b0000,65536,1,87,192.0,0.0,0.0,0
bfs,graph65536,h_graph_nodes,0,Kernel2,781385281.39,9.8,8651,1169575216.45,9.8,7392,3.7,2044.41,2.29,11.37,0.35,0.08,0.39,9.7,9.7,78432900432.9,2.5,9.8,90.05,2.07,69.22,5.99,0.23,89.15,1,0.11,10.85,17.69,20.34,61.06,55.17,55.17,179.2,57344,198.35,63473,512,128,16,0,0,0,65536,0.4,32,8,32,4,21.59,33.73,64,100,111,0x200060000000,0x200060080000,524288,5,198,576.0,0.0,0.0,4
bfs,graph65536,h_graph_mask,1,Kernel2,781385281.39,9.8,8651,1169575216.45,9.8,7392,3.7,2044.41,2.29,11.37,0.35,0.08,0.39,9.7,9.7,78432900432.9,2.5,9.8,90.05,2.07,69.22,5.99,0.23,89.15,1,0.11,10.85,17.69,20.34,61.06,55.17,55.17,179.2,57344,198.35,63473,512,128,16,0,0,0,65536,0.4,32,8,32,4,21.59,33.73,64,100,111,0x200060080000,0x200060090000,65536,2,197,192.0,0.0,0.0,4
bfs,graph65536,h_updating_graph_mask,2,Kernel2,781385281.39,9.8,8651,1169575216.45,9.8,7392,3.7,2044.41,2.29,11.37,0.35,0.08,0.39,9.7,9.7,78432900432.9,2.5,9.8,90.05,2.07,69.22,5.99,0.23,89.15,1,0.11,10.85,17.69,20.34,61.06,55.17,55.17,179.2,57344,198.35,63473,512,128,16,0,0,0,65536,0.4,32,8,32,4,21.59,33.73,64,100,111,0x200060090000,0x2000600a0000,65536,2,0,128.0,0.0,0.0,2
bfs,graph65536,h_graph_visited,3,Kernel2,781385281.39,9.8,8651,1169575216.45,9.8,7392,3.7,2044.41,2.29,11.37,0.35,0.08,0.39,9.7,9.7,78432900432.9,2.5,9.8,90.05,2.07,69.22,5.99,0.23,89.15,1,0.11,10.85,17.69,20.34,61.06,55.17,55.17,179.2,57344,198.35,63473,512,128,16,0,0,0,65536,0.4,32,8,32,4,21.59,33.73,64,100,111,0x2000600a0000,0x2000600b0000,65536,1,87,192.0,0.0,0.0,1
bfs,graph65536,h_graph_nodes,0,Kernel,809468822.17,24.06,16741,1206228348.73,24.06,13856,12.27,12603.62,10.07,20.99,0.48,0.36,0.48,12.07,12.07,199436489607.39,15.83,24.06,70.5,10.07,51.25,6.0,0.16,87.49,1,0.13,12.51,4.94,7.5,48.63,47.97,47.97,1500.69,480221,1521.22,486791,512,128,21,0,0,0,65536,0.4,32,5,32,4,22.25,34.77,64,100,111,0x200060000000,0x200060080000,524288,5,198,576.0,0.0,0.0,0
bfs,graph65536,h_graph_mask,1,Kernel,809468822.17,24.06,16741,1206228348.73,24.06,13856,12.27,12603.62,10.07,20.99,0.48,0.36,0.48,12.07,12.07,199436489607.39,15.83,24.06,70.5,10.07,51.25,6.0,0.16,87.49,1,0.13,12.51,4.94,7.5,48.63,47.97,47.97,1500.69,480221,1521.22,486791,512,128,21,0,0,0,65536,0.4,32,5,32,4,22.25,34.77,64,100,111,0x200060080000,0x200060090000,65536,2,197,192.0,0.0,0.0,0
