0,calculate_temp,Issued Ipc Active,inst/cycle,3.15,hotspot,2048
0,calculate_temp,Issue Slots Busy,%,78.67,hotspot,2048
0,calculate_temp,SM Busy,%,78.67,hotspot,2048
0,calculate_temp,Memory Throughput,byte/second,293796234966.01,hotspot,2048
0,calculate_temp,Mem Busy,%,38.41,hotspot,2048
0,calculate_temp,Max Bandwidth,%,32.84,hotspot,2048
0,calculate_temp,L2 Hit Rate,%,76.83,hotspot,2048
0,calculate_temp,Mem Pipes Busy,%,36.35,hotspot,2048
0,calculate_temp,L1 Hit Rate,%,0.61,hotspot,2048
0,calculate_temp,Active Warps Per Scheduler,warp,11.18,hotspot,2048
0,calculate_temp,Eligible Warps Per Scheduler,warp,2.93,hotspot,2048
0,calculate_temp,No Eligible,%,21.30,hotspot,2048
0,calculate_temp,Instructions Per Active Issue Slot,inst/cycle,1,hotspot,2048
0,calculate_temp,Issued Warp Per Scheduler,,0.79,hotspot,2048
0,calculate_temp,One or More Eligible,%,78.70,hotspot,2048
0,calculate_temp,Avg. Not Predicated Off Threads Per Warp,,27.11,hotspot,2048
0,calculate_temp,Avg. Active Threads Per Warp,,28.65,hotspot,2048
0,calculate_temp,Warp Cycles Per Executed Instruction,cycle,14.21,hotspot,2048
0,calculate_temp,Warp Cycles Per Issued Instruction,,14.20,hotspot,2048
0,calculate_temp,Warp Cycles Per Issue Active,,14.20,hotspot,2048
0,calculate_temp,Avg. Executed Instructions Per Scheduler,inst,185189.75,hotspot,2048
0,calculate_temp,Executed Instructions,inst,59260720,hotspot,2048
0,calculate_temp,Avg. Issued Instructions Per Scheduler,inst,185250.06,hotspot,2048
0,calculate_temp,Issued Instructions,inst,59280020,hotspot,2048
0,calculate_temp,Block Size,,256,hotspot,2048
0,calculate_temp,Grid Size,,29241,hotspot,2048
0,calculate_temp,Registers Per Thread,register/thread,40,hotspot,2048
0,calculate_temp,Shared Memory Configuration Size,byte,32768,hotspot,2048
0,calculate_temp,Dynamic Shared Memory Per Block,byte/block,0,hotspot,2048
0,calculate_temp,Static Shared Memory Per Block,byte/block,3072,hotspot,2048
0,calculate_temp,Threads,thread,7485696,hotspot,2048
0,calculate_temp,Waves Per SM,,60.92,hotspot,2048
0,calculate_temp,Block Limit SM,block,32,hotspot,2048
0,calculate_temp,Block Limit Registers,block,6,hotspot,2048
0,calculate_temp,Block Limit Shared Mem,block,32,hotspot,2048
0,calculate_temp,Block Limit Warps,block,8,hotspot,2048
0,calculate_temp,Achieved Active Warps Per SM,warp,44.92,hotspot,2048
0,calculate_temp,Achieved Occupancy,%,70.19,hotspot,2048
0,calculate_temp,Theoretical Active Warps per SM,warp/cycle,48,hotspot,2048
0,calculate_temp,Theoretical Occupancy,%,75,hotspot,2048
0,calculate_temp,Memory Frequency,cycle/second,764505119.45,hotspot,256
0,calculate_temp,SOL FB,%,22.35,hotspot,256
0,calculate_temp,Elapsed Cycles,cycle,10661,hotspot,256
0,calculate_temp,SM Frequency,cycle/second,1135114476.68,hotspot,256
0,calculate_temp,Memory [%],%,22.35,hotspot,256
0,calculate_temp,Duration,nsecond,9376,hotspot,256
0,calculate_temp,SOL L2,%,8.31,hotspot,256
0,calculate_temp,SM Active Cycles,cycle,7087.93,hotspot,256
0,calculate_temp,SM [%],%,29.17,hotspot,256
0,calculate_temp,SOL TEX,%,20.36,hotspot,256
0,calculate_temp,Executed Ipc Active,inst/cycle,1.72,hotspot,256
0,calculate_temp,Executed Ipc Elapsed,inst/cycle,1.14,hotspot,256
0,calculate_temp,Issued Ipc Active,inst/cycle,1.75,hotspot,256
