kernel,InputData,advise0,advise1,advise2
Fan1,928,"[[0.003420408163265306, 0.004513469387755101, 0.004578979591836735, 0.004652857142857143, 0.004709183673469388, 0.004729795918367348, 0.0046669387755102045], 0]","[[0.004412244897959186, 0.004504081632653062, 0.004432857142857143, 0.004593877551020407, 0.004396122448979593, 0.004472653061224489, 0.004459795918367347], 2]","[[0.003498571428571429, 0.004711836734693877, 0.004595102040816326, 0.004588571428571428, 0.0046867346938775515, 0.0045963265306122455, 0.004594489795918366], 0]"
Fan1,944,"[[0.003261224489795918, 0.004380000000000001, 0.004470000000000001, 0.004429795918367348, 0.004485918367346939, 0.004401428571428572, 0.004349183673469387], 0]","[[0.004324489795918368, 0.004213673469387755, 0.004249387755102041, 0.004271224489795919, 0.004158775510204081, 0.004277142857142858, 0.004282857142857142], 3]","[[0.0032251020408163265, 0.004392857142857144, 0.004352857142857143, 0.004340204081632654, 0.004452244897959184, 0.0044795918367346935, 0.0045346938775510225], 0]"
Fan1,96,"[[0.005239183673469389, 0.00589081632653061, 0.006100612244897959, 0.005827755102040817, 0.005979183673469388, 0.005837346938775509, 0.005881836734693878], 0]","[[0.006033061224489797, 0.0056269387755102035, 0.005812244897959184, 0.005868163265306122, 0.0057714285714285714, 0.005667755102040816, 0.005977142857142856], 0]","[[0.0049471428571428566, 0.006070408163265305, 0.0057230612244897954, 0.006103265306122448, 0.0060151020408163265, 0.005989591836734694, 0.005908163265306121], 0]"
Fan1,960,"[[0.0034853061224489803, 0.0046381632653061215, 0.004691428571428573, 0.004754081632653063, 0.004717142857142857, 0.004682653061224491, 0.004553265306122448], 0]","[[0.00456326530612245, 0.004508571428571428, 0.004430816326530612, 0.004559795918367348, 0.004385510204081632, 0.0045116326530612256, 0.004562448979591837], 2]","[[0.0035238775510204085, 0.004648367346938776, 0.004638571428571429, 0.0046700000000000005, 0.004676530612244899, 0.004590408163265306, 0.0047742857142857135], 0]"
Fan1,976,"[[0.0031483673469387755, 0.004287346938775511, 0.004424081632653062, 0.004420204081632652, 0.00437591836734694, 0.004309795918367348, 0.004305918367346939], 0]","[[0.004259591836734694, 0.004222040816326532, 0.004126938775510206, 0.004091224489795918, 0.004203061224489796, 0.004167551020408163, 0.004201224489795919], 3]","[[0.0031728571428571435, 0.004428367346938778, 0.0043291836734693865, 0.00437673469387755, 0.004339387755102043, 0.004293877551020409, 0.004331224489795919], 0]"
Fan1,992,"[[0.003319795918367347, 0.004598163265306122, 0.00469265306122449, 0.004622244897959184, 0.004653469387755099, 0.00468877551020408, 0.004709795918367348], 0]","[[0.0044681632653061215, 0.004542653061224489, 0.004515714285714287, 0.004436122448979591, 0.004444285714285713, 0.004483469387755102, 0.004394489795918367], 4]","[[0.0034165306122448964, 0.00457265306122449, 0.004694897959183673, 0.004602244897959183, 0.0047512244897959174, 0.004623265306122449, 0.0046240816326530605], 0]"
Fan1,matrix1024,"[[0.0073409387755102055, 0.008785285714285712, 0.008996122448979588, 0.008568265306122449, 0.012596285714285714, 0.014853979591836734, 0.008597571428571428], 0]","[[0.009895632653061225, 0.010260591836734695, 0.00988030612244898, 0.009903081632653063, 0.010010510204081634, 0.009849734693877552, 0.009938591836734694], 4]","[[0.004945000000000001, 0.006416265306122449, 0.02771371428571429, 0.006303816326530613, 0.007320591836734692, 0.010768367346938774, 0.006270693877551022], 0]"
Fan1,matrix16,"[[0.016910183673469383, 0.01882502040816327, 0.024599979591836733, 0.02110344897959183, 0.013212673469387756, 0.017153530612244904, 0.01905902040816327], 0]","[[0.01805673469387755, 0.01836991836734694, 0.02530891836734694, 0.022604693877551017, 0.013442510204081631, 0.014919979591836737, 0.01816110204081633], 0]","[[0.015562020408163272, 0.019114999999999997, 0.02549667346938776, 0.02488987755102041, 0.013266591836734695, 0.012747081632653062, 0.019786612244897958], 0]"
Fan1,matrix208,"[[0.004924673469387757, 0.006386020408163263, 0.00627408163265306, 0.006169714285714285, 0.0075007551020408155, 0.009286469387755104, 0.006464326530612245], 0]","[[0.006383795918367345, 0.0067508163265306105, 0.00664626530612245, 0.006773999999999998, 0.006861979591836736, 0.007126999999999999, 0.006462183673469387], 0]","[[0.0043838775510204086, 0.005757877551020408, 0.012664734693877551, 0.005464081632653061, 0.005562448979591838, 0.007531428571428572, 0.005641591836734694], 0]"
Fan1,matrix3,"[[0.10605022448979591, 0.12984432653061223, 0.1830105510204081, 0.15261367346938776, 0.08081087755102041, 0.10840120408163269, 0.12410061224489793], 0]","[[0.12554289795918364, 0.12322471428571427, 0.17893979591836737, 0.1586137755102041, 0.08578093877551018, 0.09356932653061224, 0.11916002040816323], 1]","[[0.11038838775510201, 0.12877983673469384, 0.18346402040816326, 0.17917924489795922, 0.08359624489795921, 0.07625385714285714, 0.12316987755102039], 0]"
Fan1,matrix304,"[[0.004965612244897959, 0.005648632653061225, 0.005587122448979593, 0.0057370408163265295, 0.007440448979591837, 0.008846755102040818, 0.0058887346938775505], 0]","[[0.006146428571428572, 0.006061755102040816, 0.006274306122448981, 0.006204183673469387, 0.006664979591836735, 0.006522897959183672, 0.006239795918367348], 0]","[[0.0038275510204081632, 0.0050808163265306135, 0.013346877551020406, 0.004856122448979592, 0.00505, 0.006899102040816327, 0.005053877551020409], 0]"
Fan1,matrix32,"[[0.009604448979591838, 0.015289591836734694, 0.014471326530612241, 0.014740469387755105, 0.01168583673469388, 0.013747244897959181, 0.014752163265306126], 0]","[[0.012516510204081633, 0.013090061224489797, 0.014981734693877551, 0.014144918367346939, 0.01321704081632653, 0.013427918367346938, 0.012912897959183673], 0]","[[0.008971081632653062, 0.01667163265306123, 0.015759448979591834, 0.015244551020408162, 0.011149571428571427, 0.011820142857142857, 0.014674653061224492], 0]"
Fan1,matrix320,"[[0.00458934693877551, 0.005677183673469387, 0.005655448979591837, 0.005615775510204082, 0.007433489795918368, 0.008760469387755102, 0.005794714285714286], 0]","[[0.006133918367346939, 0.006108244897959184, 0.006245224489795919, 0.006420000000000002, 0.0060298979591836745, 0.006221204081632651, 0.006367938775510203], 5]","[[0.0038924489795918375, 0.005208775510204081, 0.012597448979591837, 0.005119795918367347, 0.00507530612244898, 0.006630204081632655, 0.005002448979591837], 0]"
Fan1,matrix336,"[[0.004607959183673469, 0.006043387755102041, 0.005677102040816328, 0.00578704081632653, 0.007505938775510205, 0.009266061224489796, 0.006306061224489796], 0]","[[0.006241081632653061, 0.0064273673469387735, 0.006342714285714287, 0.006649775510204081, 0.006518591836734695, 0.006661489795918364, 0.006352530612244899], 0]","[[0.003942244897959185, 0.005133061224489796, 0.013342265306122442, 0.005066510204081632, 0.005140816326530613, 0.007350693877551021, 0.00521795918367347], 0]"
Fan1,matrix368,"[[0.004635163265306123, 0.00584357142857143, 0.0058000000000000005, 0.0058142653061224485, 0.007614591836734696, 0.00974016326530612, 0.006170836734693878], 0]","[[0.006596795918367346, 0.006492775510204084, 0.006446040816326529, 0.006594489795918368, 0.006551816326530612, 0.0066676938775510185, 0.006268979591836733], 0]","[[0.00402204081632653, 0.0053230816326530605, 0.013195346938775509, 0.0050244693877551025, 0.005343877551020407, 0.007409979591836736, 0.005299795918367345], 0]"
Fan1,matrix384,"[[0.00484591836734694, 0.005893306122448979, 0.0058806530612244895, 0.0058433469387755115, 0.007661551020408164, 0.010086836734693877, 0.005747959183673468], 0]","[[0.006489673469387754, 0.006502204081632654, 0.006858489795918369, 0.006577775510204082, 0.00642638775510204, 0.006584510204081633, 0.006520530612244898], 3]","[[0.003869183673469388, 0.005277551020408163, 0.01390908163265306, 0.005164469387755103, 0.005042244897959183, 0.007628551020408163, 0.0050684897959183675], 0]"
Fan1,matrix4,"[[0.06796069387755099, 0.08776493877551021, 0.12066038775510202, 0.10224920408163263, 0.060106897959183676, 0.07187455102040817, 0.08772779591836735], 0]","[[0.0877947142857143, 0.09234359183673468, 0.11831095918367347, 0.10440665306122449, 0.05511873469387756, 0.05762791836734694, 0.08274189795918366], 0]","[[0.07536838775510205, 0.09013238775510204, 0.11941965306122447, 0.12052622448979596, 0.0571404693877551, 0.049543204081632645, 0.08621414285714285], 0]"
Fan2,1008,"[[0.10172063265306121, 0.10144299999999998, 0.1014825510204082, 0.10151589795918366, 0.10127657142857142, 0.1014451224489796, 0.101476], 2]","[[0.10151153061224492, 0.10161185714285716, 0.10144532653061222, 0.10150179591836733, 0.10136767346938776, 0.10145555102040814, 0.10146604081632654], 4]","[[0.1017951428571428, 0.1015990612244898, 0.10113461224489796, 0.1014613469387755, 0.10149324489795919, 0.1014627755102041, 0.10141359183673467], 3]"
Fan2,1024,"[[0.10428895918367345, 0.10427408163265306, 0.10444271428571432, 0.10420244897959183, 0.10416193877551022, 0.10414700000000002, 0.10420408163265305], 2]","[[0.10418557142857143, 0.10429483673469389, 0.10459183673469388, 0.10428404081632651, 0.10426412244897963, 0.10404273469387755, 0.10405808163265308], 5]","[[0.1042230408163265, 0.10430534693877548, 0.10437144897959186, 0.10408267346938775, 0.10455320408163266, 0.10408308163265306, 0.1041024285714286], 5]"
Fan2,112,"[[0.0027930612244897943, 0.002379183673469385, 0.0023804081632653037, 0.0023795918367346914, 0.002379999999999997, 0.0023795918367346914, 0.00238020408163265], 0]","[[0.0023802040816326506, 0.0024399999999999977, 0.0024402040816326504, 0.00244020408163265, 0.002437551020408161, 0.002441020408163263, 0.00249285714285714], 2]","[[0.002791836734693876, 0.0023804081632653033, 0.0023802040816326506, 0.002379795918367344, 0.002379999999999997, 0.002379387755102038, 0.0023804081632653037], 5]"
Fan2,128,"[[0.003173673469387753, 0.0028557142857142835, 0.0028610204081632633, 0.0028534693877550993, 0.002860612244897957, 0.002862244897959182, 0.0028565306122448958], 0]","[[0.0027659183673469354, 0.0029175510204081617, 0.0029487755102040793, 0.0029202040816326516, 0.002909387755102039, 0.00294938775510204, 0.002912040816326528], 5]","[[0.0037193877551020397, 0.0027675510204081604, 0.0027675510204081604, 0.002767755102040814, 0.0027671428571428547, 0.0027669387755102012, 0.0027669387755102012], 3]"
Fan2,144,"[[0.0035548979591836726, 0.003222653061224492, 0.003223061224489798, 0.00322387755102041, 0.003225714285714287, 0.0032261224489795928, 0.0032255102040816335], 0]","[[0.003224897959183675, 0.003275102040816328, 0.0033102040816326544, 0.003273469387755103, 0.0032726530612244903, 0.003271836734693879, 0.003273673469387757], 1]","[[0.003553265306122448, 0.003225102040816328, 0.003225306122448981, 0.00322387755102041, 0.0032259183673469397, 0.00322387755102041, 0.003224489795918369], 3]"
Fan2,16,"[[0.005487938775510204, 0.0016791836734693878, 0.0016793877551020409, 0.0016810204081632656, 0.0016802040816326531, 0.0016791836734693878, 0.001679795918367347], 0]","[[0.0016871428571428562, 0.002493020408163266, 0.0021208775510204087, 0.002108918367346939, 0.0025508163265306125, 0.0021193265306122455, 0.002486612244897959], 1]","[[0.005491408163265306, 0.0016791836734693882, 0.001678979591836735, 0.0016793877551020409, 0.001678979591836735, 0.001679387755102041, 0.0016793877551020409], 1]"
Fan2,160,"[[0.0040287755102040804, 0.003730816326530613, 0.003731836734693876, 0.003731428571428571, 0.003732653061224487, 0.0037328571428571398, 0.003732653061224487], 1]","[[0.0037324489795918345, 0.003773877551020406, 0.00377877551020408, 0.0038075510204081623, 0.0037767346938775495, 0.0037757142857142846, 0.0037759183673469372], 3]","[[0.004030612244897956, 0.003732244897959182, 0.003732244897959182, 0.0037312244897959182, 0.003731428571428571, 0.0037316326530612235, 0.0037316326530612235], 2]"
Fan2,176,"[[0.004513673469387757, 0.0042769387755102065, 0.004277959183673472, 0.004277142857142861, 0.004279591836734697, 0.004279591836734696, 0.00427979591836735], 0]","[[0.004278163265306125, 0.004316122448979595, 0.0043193877551020434, 0.004317346938775514, 0.0043189795918367364, 0.004316938775510208, 0.00431775510204082], 5]","[[0.004513265306122451, 0.004277959183673474, 0.004278979591836738, 0.004279183673469391, 0.004278367346938778, 0.004278571428571431, 0.004278367346938779], 1]"
Fan2,192,"[[0.00515857142857143, 0.004876734693877548, 0.004877551020408161, 0.0048783673469387735, 0.004880408163265305, 0.004880408163265305, 0.004881020408163263], 0]","[[0.004878775510204081, 0.004913469387755101, 0.004913265306122447, 0.004916938775510204, 0.004948571428571427, 0.004947346938775509, 0.004914693877551019], 5]","[[0.005158775510204083, 0.004879183673469386, 0.004879183673469386, 0.004879183673469385, 0.004879591836734692, 0.00487816326530612, 0.004878979591836733], 3]"
Fan2,208,"[[0.005824285714285714, 0.00554142857142857, 0.005543265306122448, 0.00554204081632653, 0.0055455102040816336, 0.00554530612244898, 0.005544897959183674], 1]","[[0.005543877551020408, 0.005601836734693878, 0.0055761224489795915, 0.0055793877551020415, 0.005602448979591838, 0.005607142857142857, 0.005575918367346938], 0]","[[0.005823265306122449, 0.005544081632653061, 0.005544285714285715, 0.005544081632653061, 0.005544081632653061, 0.005542857142857142, 0.005544081632653061], 6]"
Fan2,224,"[[0.006443061224489799, 0.006245714285714283, 0.0062463265306122425, 0.0062467346938775495, 0.006248775510204081, 0.006248163265306122, 0.006249795918367346], 0]","[[0.006246122448979589, 0.006282857142857142, 0.006279795918367347, 0.006281020408163265, 0.006282448979591836, 0.006277755102040816, 0.0062785714285714285], 3]","[[0.006442448979591839, 0.006247551020408163, 0.006248775510204082, 0.006248163265306122, 0.006247142857142856, 0.0062473469387755096, 0.006247142857142856], 6]"
Fan2,240,"[[0.007206122448979592, 0.007001020408163272, 0.007002857142857148, 0.007002448979591843, 0.007007142857142858, 0.0070048979591836764, 0.007004489795918372], 1]","[[0.007002448979591842, 0.007032857142857147, 0.007031836734693882, 0.007060408163265307, 0.007035714285714288, 0.0070334693877551055, 0.007032244897959188], 0]","[[0.00720469387755102, 0.0070034693877551076, 0.007004897959183676, 0.007004081632653065, 0.007004285714285718, 0.007003877551020414, 0.00700367346938776], 2]"
Fan2,256,"[[0.008012693877551023, 0.007887755102040815, 0.007884081632653063, 0.007881632653061223, 0.007890612244897961, 0.0078865306122449, 0.00788448979591837], 0]","[[0.007826734693877553, 0.007911224489795919, 0.00791857142857143, 0.007913469387755102, 0.007912857142857143, 0.007929224489795918, 0.007915714285714286], 1]","[[0.008365551020408164, 0.007826938775510205, 0.007827551020408165, 0.007828163265306125, 0.007826530612244899, 0.007826326530612247, 0.007826734693877553], 5]"
Fan2,272,"[[0.008862244897959176, 0.00868489795918366, 0.008685102040816314, 0.008685918367346928, 0.00868857142857142, 0.008687551020408153, 0.00868857142857142], 0]","[[0.008685102040816314, 0.008733061224489786, 0.008712448979591825, 0.00871326530612244, 0.008714081632653053, 0.008712040816326521, 0.008712857142857132], 1]","[[0.00886183673469387, 0.008686530612244886, 0.008687142857142846, 0.008687755102040806, 0.008686326530612234, 0.008686530612244886, 0.00868673469387754], 3]"
Fan2,288,"[[0.009754897959183675, 0.00960448979591837, 0.009606122448979595, 0.009605102040816329, 0.009608163265306127, 0.009606734693877555, 0.009607346938775515], 0]","[[0.009605714285714287, 0.00963079591836735, 0.009629591836734697, 0.009632632653061229, 0.00963083673469388, 0.009632081632653064, 0.009631204081632656], 0]","[[0.009754897959183675, 0.009606530612244901, 0.009607346938775513, 0.009606938775510209, 0.009605918367346943, 0.009605510204081636, 0.009605714285714289], 2]"
Fan2,304,"[[0.010720306122448979, 0.010578999999999998, 0.010579551020408159, 0.010579571428571424, 0.010580489795918363, 0.010580938775510204, 0.010579918367346938], 2]","[[0.010579387755102037, 0.010602346938775509, 0.010603367346938772, 0.010603755102040814, 0.01060395918367347, 0.010602428571428566, 0.010604530612244895], 6]","[[0.010720673469387753, 0.010580877551020409, 0.010580183673469386, 0.010579979591836732, 0.01057955102040816, 0.01057924489795918, 0.010579265306122448], 5]"
Fan2,32,"[[0.0032503061224489795, 0.0016185714285714286, 0.001618979591836735, 0.001619387755102041, 0.0016218367346938782, 0.0016179591836734694, 0.001618979591836735], 1]","[[0.001619183673469387, 0.0020145510204081633, 0.0018285714285714285, 0.0018279795918367345, 0.0018324897959183673, 0.0020197346938775514, 0.0018235102040816329], 1]","[[0.003246632653061225, 0.0016191836734693878, 0.0016193877551020411, 0.001619795918367347, 0.0016191836734693883, 0.001619795918367347, 0.001622040816326531], 0]"
Fan2,320,"[[0.011749693877551017, 0.011598673469387753, 0.011599142857142858, 0.011599408163265303, 0.011600306122448969, 0.01160032653061224, 0.011599040816326525], 2]","[[0.011599571428571423, 0.011620591836734693, 0.011620836734693874, 0.011623224489795915, 0.011621571428571426, 0.011638265306122442, 0.011622530612244891], 1]","[[0.01175006122448979, 0.011599714285714283, 0.011599653061224489, 0.011599918367346931, 0.01159916326530612, 0.01159875510204081, 0.011599326530612237], 1]"
Fan2,336,"[[0.012813122448979598, 0.012667428571428574, 0.012666918367346937, 0.01266771428571429, 0.012668918367346942, 0.012668693877551023, 0.012667775510204085], 2]","[[0.012667326530612246, 0.012688775510204085, 0.012706346938775516, 0.012690673469387754, 0.012689040816326536, 0.01268861224489796, 0.012689795918367351], 1]","[[0.012813224489795922, 0.012668326530612246, 0.012667857142857149, 0.012668326530612246, 0.012667530612244902, 0.012667571428571433, 0.012667734693877554], 1]"
Fan2,352,"[[0.013968612244897958, 0.013805204081632655, 0.013805163265306128, 0.013805122448979593, 0.013805653061224492, 0.01380618367346939, 0.013803816326530613], 2]","[[0.013804428571428577, 0.013824734693877554, 0.013823918367346946, 0.013824877551020407, 0.013840836734693883, 0.01383967346938776, 0.013841285714285714], 6]","[[0.013969306122448979, 0.013805612244897965, 0.013804428571428579, 0.013805510204081635, 0.013804897959183677, 0.013804734693877553, 0.013805265306122447], 2]"
Fan2,368,"[[0.015131938775510206, 0.01498302040816327, 0.014983122448979593, 0.014983204081632657, 0.014983285714285723, 0.014983204081632664, 0.014981244897959187], 1]","[[0.014982326530612253, 0.015019224489795925, 0.015000877551020418, 0.015002530612244902, 0.015018428571428582, 0.015001408163265315, 0.01500422448979592], 5]","[[0.01513279591836735, 0.014982020408163274, 0.014983326530612254, 0.014983265306122456, 0.014982306122448982, 0.01498248979591837, 0.014982816326530621], 0]"
Fan2,384,"[[0.016348061224489792, 0.01626471428571428, 0.01625834693877551, 0.016258102040816323, 0.01625665306122449, 0.01625822448979592, 0.01626232653061225], 1]","[[0.01620926530612245, 0.01629634693877551, 0.016287204081632648, 0.016280755102040814, 0.016277714285714288, 0.01627530612244898, 0.016279836734693878], 4]","[[0.016647102040816323, 0.016210285714285715, 0.016209244897959184, 0.016209714285714286, 0.016210489795918367, 0.016209551020408164, 0.01621004081632653], 5]"
Fan2,400,"[[0.017663163265306123, 0.017495734693877548, 0.01749589795918367, 0.017495448979591842, 0.01749520408163265, 0.017495632653061227, 0.01749283673469388], 1]","[[0.01749575510204081, 0.017528428571428573, 0.01751385714285714, 0.017515510204081635, 0.017527265306122447, 0.01752620408163265, 0.017526897959183677], 6]","[[0.01766497959183674, 0.017495653061224487, 0.01749422448979592, 0.017495020408163267, 0.017494653061224483, 0.017494367346938773, 0.017495020408163267], 2]"
Fan2,416,"[[0.01897648979591836, 0.018832734693877556, 0.018833306122448983, 0.018831918367346944, 0.01883144897959183, 0.01883185714285715, 0.018828673469387755], 6]","[[0.01883371428571429, 0.018863734693877553, 0.018847714285714284, 0.01884797959183673, 0.018861632653061226, 0.01886191836734694, 0.01884973469387756], 6]","[[0.018978244897959188, 0.01883171428571429, 0.018831836734693876, 0.01883136734693878, 0.018830673469387757, 0.018831102040816325, 0.01883148979591837], 5]"
Fan2,432,"[[0.020332653061224483, 0.02021824489795919, 0.020218693877551024, 0.020217775510204084, 0.020217734693877543, 0.02021793877551021, 0.020214836734693875], 0]","[[0.020218163265306118, 0.02023410204081633, 0.02023467346938776, 0.02023408163265306, 0.020247510204081633, 0.020233020408163264, 0.02023632653061225], 3]","[[0.020333918367346937, 0.020218081632653057, 0.020216897959183678, 0.020217469387755108, 0.020217183673469388, 0.020216775510204076, 0.02021755102040817], 4]"
Fan2,448,"[[0.021757020408163262, 0.02166202040816327, 0.02166244897959184, 0.021661551020408166, 0.021660693877551027, 0.021661469387755098, 0.02165777551020408], 0]","[[0.021661673469387757, 0.021676775510204083, 0.02167542857142857, 0.021677163265306124, 0.021675591836734693, 0.021677877551020405, 0.021678469387755105], 0]","[[0.021758530612244892, 0.021662244897959187, 0.02165991836734693, 0.021660673469387753, 0.021660408163265307, 0.021660285714285715, 0.02166091836734694], 2]"
