@relation 'lassen_data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1,4-5,7,9,11-15,17,19-32,37,39,42-45,47-49-weka.filters.unsupervised.attribute.Remove-R1,5-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R7-8-weka.filters.unsupervised.attribute.Remove-R9'

@attribute 'Elapsed Cycles' numeric
@attribute Duration numeric
@attribute 'SM Active Cycles' numeric
@attribute 'Memory Throughput' numeric
@attribute 'Max Bandwidth' numeric
@attribute 'Avg. Executed Instructions Per Scheduler' numeric
@attribute 'Grid Size' numeric
@attribute Threads numeric
@attribute 'Achieved Active Warps Per SM' numeric
@attribute class {RM,UM,PL,AB,UMC}

@data
0.026747,0.027444,0.029053,0.511034,0.551993,0.05782,0.007706,0.09243,0.557736,UM
0.162259,0.159027,0.136832,0.45116,0.438103,0.344462,0.007706,0.09243,0.452744,UM
0.040716,0.04035,0.042234,0.837486,0.86618,0.022603,0.007706,0.09243,0.629954,UM
0.166581,0.15873,0.134802,0.452586,0.427952,0.338379,0.007706,0.09243,0.446646,UM
0.040794,0.040053,0.042143,0.828933,0.851944,0.022603,0.007706,0.09243,0.627668,UM
0.156888,0.165554,0.13601,0.435479,0.453206,0.335726,0.007706,0.09243,0.439596,UM
0.043191,0.042279,0.042327,0.797571,0.814929,0.022603,0.007706,0.09243,0.626715,UM
0.028115,0.025961,0.029038,0.535268,0.538376,0.056813,0.007706,0.09243,0.559451,UM
0.163288,0.167038,0.135821,0.432628,0.436742,0.339484,0.007706,0.09243,0.454268,UM
0.04138,0.040498,0.042932,0.823231,0.842288,0.022603,0.007706,0.09243,0.629002,UM
0.161391,0.165702,0.133484,0.435479,0.441198,0.333023,0.007706,0.09243,0.466654,UM
0.046984,0.041389,0.042192,0.813252,0.76306,0.022603,0.007706,0.09243,0.627668,UM
0.160181,0.15606,0.135638,0.462565,0.445902,0.330388,0.007706,0.09243,0.445884,UM
0.045669,0.042575,0.042841,0.790443,0.775811,0.022603,0.007706,0.09243,0.625762,UM
0.027972,0.026554,0.029737,0.522438,0.536767,0.055472,0.007706,0.09243,0.561166,UM
0.170488,0.164516,0.137644,0.43833,0.419287,0.332989,0.007706,0.09243,0.441311,UM
0.044537,0.041537,0.043116,0.813252,0.801436,0.022603,0.007706,0.09243,0.629192,UM
