Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
gaussian,864,m,2,Fan1,713888888.9,6.01,6181,1072714120,6.01,5760,0.83,78.33,0.07,43.66,0.22,0,0.23,5.77,5.77,43905555556,0.6,6.01,50.91,0.07,1.43,3.27,0.1,93.19,1,0.07,6.81,29.21,31.83,50.49,47.97,47.97,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.43,17.85,64,100,111,0x200060600000,0x2000608d9000,2985984,11,39,2944,0,0,0
gaussian,864,a,0,Fan2,869838773.1,9.45,105805,1298773594,11,81376,11,77568.21,4.54,12.68,0.25,0.18,0.25,6.18,6.18,84134093590,9.51,11,91.43,3.85,65.85,1.43,0.08,92.1,1,0.08,7.9,14.5,15.95,18.16,18.15,18.15,4790.5,1532960,4794.68,1534298,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.64,7.25,32,50,111,0x200060000000,0x2000602d9000,2985984,23,48,2944,2944,0,3
gaussian,864,b,1,Fan2,869838773.1,9.45,105805,1298773594,11,81376,11,77568.21,4.54,12.68,0.25,0.18,0.25,6.18,6.18,84134093590,9.51,11,91.43,3.85,65.85,1.43,0.08,92.1,1,0.08,7.9,14.5,15.95,18.16,18.15,18.15,4790.5,1532960,4794.68,1534298,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.64,7.25,32,50,111,0x200060400000,0x200060400d80,3456,2,256,64,64,0,0
gaussian,864,m,2,Fan2,869838773.1,9.45,105805,1298773594,11,81376,11,77568.21,4.54,12.68,0.25,0.18,0.25,6.18,6.18,84134093590,9.51,11,91.43,3.85,65.85,1.43,0.08,92.1,1,0.08,7.9,14.5,15.95,18.16,18.15,18.15,4790.5,1532960,4794.68,1534298,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.64,7.25,32,50,111,0x200060600000,0x2000608d9000,2985984,11,39,2944,0,0,2
gaussian,864,a,0,Fan1,729050279.3,5.86,6274,1094942970,5.86,5728,0.82,72.76,0.07,46.95,0.24,0,0.25,6.21,6.21,43782122905,0.59,5.86,50.91,0.07,1.44,3.3,0.1,93.4,1,0.07,6.6,29.18,31.8,52.54,49.92,49.92,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.48,17.93,64,100,111,0x200060000000,0x2000602d9000,2985984,23,48,2944,2944,0,0
gaussian,864,b,1,Fan1,729050279.3,5.86,6274,1094942970,5.86,5728,0.82,72.76,0.07,46.95,0.24,0,0.25,6.21,6.21,43782122905,0.59,5.86,50.91,0.07,1.44,3.3,0.1,93.4,1,0.07,6.6,29.18,31.8,52.54,49.92,49.92,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.48,17.93,64,100,111,0x200060400000,0x200060400d80,3456,2,256,64,64,0,6
gaussian,864,m,2,Fan1,729050279.3,5.86,6274,1094942970,5.86,5728,0.82,72.76,0.07,46.95,0.24,0,0.25,6.21,6.21,43782122905,0.59,5.86,50.91,0.07,1.44,3.3,0.1,93.4,1,0.07,6.6,29.18,31.8,52.54,49.92,49.92,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.48,17.93,64,100,111,0x200060600000,0x2000608d9000,2985984,11,39,2944,0,0,0
gaussian,880,a,0,Fan2,870250759.9,9.49,109528,1299370330,12.55,84224,12.55,83588.4,4.57,12.59,0.24,0.18,0.24,5.99,5.99,84606003040,11.52,12.55,91.66,3.88,52.34,1.38,0.08,92.51,1,0.07,7.49,14.5,15.95,18.47,18.45,18.45,4997.44,1599180,5003.11,1600995,16,48400,16,0,0,0,774400,18.91,32,128,32,64,4.64,7.25,32,50,111,0x200060000000,0x2000602f4400,3097600,22,34,3072,3072,0,6
gaussian,880,b,1,Fan2,870250759.9,9.49,109528,1299370330,12.55,84224,12.55,83588.4,4.57,12.59,0.24,0.18,0.24,5.99,5.99,84606003040,11.52,12.55,91.66,3.88,52.34,1.38,0.08,92.51,1,0.07,7.49,14.5,15.95,18.47,18.45,18.45,4997.44,1599180,5003.11,1600995,16,48400,16,0,0,0,774400,18.91,32,128,32,64,4.64,7.25,32,50,111,0x200060400000,0x200060400dc0,3520,2,232,64,64,0,4
gaussian,880,m,2,Fan2,870250759.9,9.49,109528,1299370330,12.55,84224,12.55,83588.4,4.57,12.59,0.24,0.18,0.24,5.99,5.99,84606003040,11.52,12.55,91.66,3.88,52.34,1.38,0.08,92.51,1,0.07,7.49,14.5,15.95,18.47,18.45,18.45,4997.44,1599180,5003.11,1600995,16,48400,16,0,0,0,774400,18.91,32,128,32,64,4.64,7.25,32,50,111,0x200060600000,0x2000608f4400,3097600,11,44,3072,0,0,5
