Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
gaussian,320,b,1,Fan1,769736842.1,2.62,5579,1146415844,2.62,4864,0.42,30.19,0.04,45.67,0.23,0,0.24,6.07,6.07,20664473684,0.32,2.62,51.21,0.04,1.41,2.59,0.08,93.64,1,0.06,6.36,28.93,31.57,43.46,40.79,40.79,1.72,550,1.83,586,512,1,17,0,0,0,512,0,32,5,32,4,10.05,15.71,64,100,111,0x200060064000,0x200060064500,1280,0,0,0,0,0,4
gaussian,320,m,2,Fan1,769736842.1,2.62,5579,1146415844,2.62,4864,0.42,30.19,0.04,45.67,0.23,0,0.24,6.07,6.07,20664473684,0.32,2.62,51.21,0.04,1.41,2.59,0.08,93.64,1,0.06,6.36,28.93,31.57,43.46,40.79,40.79,1.72,550,1.83,586,512,1,17,0,0,0,512,0,32,5,32,4,10.05,15.71,64,100,111,0x200060064600,0x2000600c8600,409600,1,2,384,64,0,0
gaussian,320,a,0,Fan2,823404255.3,12.69,18496,1228246897,16.49,15040,16.49,13438,3.55,10.2,0.19,0.14,0.2,4.88,4.88,1.07034E+11,16.49,12.69,95.95,3,52.11,1.68,0.06,94.53,1,0.05,5.47,14.42,15.86,30.85,30.65,30.65,652.27,208728,656.41,210051,16,6400,16,0,0,0,102400,2.5,32,128,32,64,6.3,9.84,32,50,111,0x200060000000,0x200060064000,409600,8,65,448,448,0,1
gaussian,320,b,1,Fan2,823404255.3,12.69,18496,1228246897,16.49,15040,16.49,13438,3.55,10.2,0.19,0.14,0.2,4.88,4.88,1.07034E+11,16.49,12.69,95.95,3,52.11,1.68,0.06,94.53,1,0.05,5.47,14.42,15.86,30.85,30.65,30.65,652.27,208728,656.41,210051,16,6400,16,0,0,0,102400,2.5,32,128,32,64,6.3,9.84,32,50,111,0x200060064000,0x200060064500,1280,0,0,0,0,0,4
gaussian,320,m,2,Fan2,823404255.3,12.69,18496,1228246897,16.49,15040,16.49,13438,3.55,10.2,0.19,0.14,0.2,4.88,4.88,1.07034E+11,16.49,12.69,95.95,3,52.11,1.68,0.06,94.53,1,0.05,5.47,14.42,15.86,30.85,30.65,30.65,652.27,208728,656.41,210051,16,6400,16,0,0,0,102400,2.5,32,128,32,64,6.3,9.84,32,50,111,0x200060064600,0x2000600c8600,409600,1,2,384,64,0,0
gaussian,320,a,0,Fan1,678362573.1,2.63,5543,1012640107,2.63,5472,0.42,31.96,0.04,43.02,0.22,0,0.23,5.73,5.73,18263157895,0.32,2.63,51.22,0.04,1.42,2.6,0.08,93.8,1,0.06,6.2,28.87,31.5,44.69,41.95,41.95,1.72,550,1.83,586,512,1,17,0,0,0,512,0,32,5,32,4,10.5,16.41,64,100,111,0x200060000000,0x200060064000,409600,8,65,448,448,0,0
gaussian,320,b,1,Fan1,678362573.1,2.63,5543,1012640107,2.63,5472,0.42,31.96,0.04,43.02,0.22,0,0.23,5.73,5.73,18263157895,0.32,2.63,51.22,0.04,1.42,2.6,0.08,93.8,1,0.06,6.2,28.87,31.5,44.69,41.95,41.95,1.72,550,1.83,586,512,1,17,0,0,0,512,0,32,5,32,4,10.5,16.41,64,100,111,0x200060064000,0x200060064500,1280,0,0,0,0,0,4
gaussian,320,m,2,Fan1,678362573.1,2.63,5543,1012640107,2.63,5472,0.42,31.96,0.04,43.02,0.22,0,0.23,5.73,5.73,18263157895,0.32,2.63,51.22,0.04,1.42,2.6,0.08,93.8,1,0.06,6.2,28.87,31.5,44.69,41.95,41.95,1.72,550,1.83,586,512,1,17,0,0,0,512,0,32,5,32,4,10.5,16.41,64,100,111,0x200060064600,0x2000600c8600,409600,1,2,384,64,0,0
gaussian,336,a,0,Fan2,830357142.9,12.69,19990,1237909226,19.48,16128,19.48,15009.5,3.68,9.16,0.19,0.15,0.2,4.89,4.89,1.07861E+11,19.48,12.69,92.11,3.11,65.46,1.64,0.05,94.65,1,0.05,5.35,14.43,15.87,30.82,30.65,30.65,730.01,233604,734.09,234910,16,7056,16,0,0,0,112896,2.76,32,128,32,64,6.06,9.47,32,50,111,0x200060000000,0x20006006e400,451584,8,27,448,448,0,5
gaussian,336,b,1,Fan2,830357142.9,12.69,19990,1237909226,19.48,16128,19.48,15009.5,3.68,9.16,0.19,0.15,0.2,4.89,4.89,1.07861E+11,19.48,12.69,92.11,3.11,65.46,1.64,0.05,94.65,1,0.05,5.35,14.43,15.87,30.82,30.65,30.65,730.01,233604,734.09,234910,16,7056,16,0,0,0,112896,2.76,32,128,32,64,6.06,9.47,32,50,111,0x20006006e400,0x20006006e940,1344,0,0,0,0,0,4
