Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,Costs,label
gaussian,960,m,2,Fan1,757692307.7,8.53,4716,1133012821,8.53,4160,1.11,76.12,0.14,49.56,0.25,0,0.26,6.54,6.54,66176923077,0.93,8.53,53.41,0.14,1.45,3.52,0.11,92.92,1,0.07,7.08,29.24,31.79,51.99,49.64,49.64,4.75,1520,4.97,1592,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.11,18.92,64,100,111,0x7fdc7e600000,0x7fdc7e984000,3686400,12,4,3600,0,0,"0.0035238775510204085, 0.004648367346938776, 0.004638571428571429, 0.0046700000000000005, 0.004676530612244899, 0.004590408163265306, 0.0047742857142857135",0
gaussian,960,a,0,Fan2,872302158.3,9.45,127600,1303212544,11.47,97856,11.47,97831.26,4.49,12.34,0.23,0.18,0.23,5.85,5.85,84436886854,9.61,11.47,91.23,3.93,62.28,1.49,0.08,92.11,1,0.08,7.89,14.46,15.96,18.93,18.92,18.92,5722.54,1831212,5726.64,1832524,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.43,6.93,32,50,111,0x7fdc7e000000,0x7fdc7e384000,3686400,27,5,3600,3600.000256,0,"0.09349612244897959, 0.09331369387755101, 0.09333985714285717, 0.09350489795918365, 0.09346308163265302, 0.0932606530612245, 0.09359542857142855",3
gaussian,960,b,1,Fan2,872302158.3,9.45,127600,1303212544,11.47,97856,11.47,97831.26,4.49,12.34,0.23,0.18,0.23,5.85,5.85,84436886854,9.61,11.47,91.23,3.93,62.28,1.49,0.08,92.11,1,0.08,7.89,14.46,15.96,18.93,18.92,18.92,5722.54,1831212,5726.64,1832524,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.43,6.93,32,50,111,0x7fdc7e400000,0x7fdc7e400f00,3840,2,90,4,4,0,"0.09331944897959184, 0.09342577551020409, 0.0936930612244898, 0.09326912244897959, 0.09343910204081632, 0.09340153061224488, 0.09342569387755102",0
gaussian,960,m,2,Fan2,872302158.3,9.45,127600,1303212544,11.47,97856,11.47,97831.26,4.49,12.34,0.23,0.18,0.23,5.85,5.85,84436886854,9.61,11.47,91.23,3.93,62.28,1.49,0.08,92.11,1,0.08,7.89,14.46,15.96,18.93,18.92,18.92,5722.54,1831212,5726.64,1832524,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.43,6.93,32,50,111,0x7fdc7e600000,0x7fdc7e984000,3686400,12,4,3600,0,0,"0.09365738775510202, 0.09344275510204081, 0.09344338775510201, 0.09351689795918368, 0.09330748979591838, 0.0932523673469388, 0.09335344897959184",6
gaussian,960,a,0,Fan1,788617886.2,8.68,4635,1177252710,8.68,3936,1.13,74.22,0.14,50.77,0.26,0,0.27,6.7,6.7,70056910569,0.93,8.68,53.41,0.14,1.45,3.12,0.11,93.06,1,0.07,6.94,29.21,31.76,47.04,44.91,44.91,4.75,1520,4.97,1592,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.31,19.23,64,100,111,0x7fdc7e000000,0x7fdc7e384000,3686400,27,5,3600,3600.000256,0,"0.0034853061224489803, 0.0046381632653061215, 0.004691428571428573, 0.004754081632653063, 0.004717142857142857, 0.004682653061224491, 0.004553265306122448",0
gaussian,960,b,1,Fan1,788617886.2,8.68,4635,1177252710,8.68,3936,1.13,74.22,0.14,50.77,0.26,0,0.27,6.7,6.7,70056910569,0.93,8.68,53.41,0.14,1.45,3.12,0.11,93.06,1,0.07,6.94,29.21,31.76,47.04,44.91,44.91,4.75,1520,4.97,1592,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.31,19.23,64,100,111,0x7fdc7e400000,0x7fdc7e400f00,3840,2,90,4,4,0,"0.00456326530612245, 0.004508571428571428, 0.004430816326530612, 0.004559795918367348, 0.004385510204081632, 0.0045116326530612256, 0.004562448979591837",2
gaussian,960,m,2,Fan1,788617886.2,8.68,4635,1177252710,8.68,3936,1.13,74.22,0.14,50.77,0.26,0,0.27,6.7,6.7,70056910569,0.93,8.68,53.41,0.14,1.45,3.12,0.11,93.06,1,0.07,6.94,29.21,31.76,47.04,44.91,44.91,4.75,1520,4.97,1592,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.31,19.23,64,100,111,0x7fdc7e600000,0x7fdc7e984000,3686400,12,4,3600,0,0,"0.0035238775510204085, 0.004648367346938776, 0.004638571428571429, 0.0046700000000000005, 0.004676530612244899, 0.004590408163265306, 0.0047742857142857135",0
gaussian,960,a,0,Fan2,874386051.1,9.35,127771,1306967638,9.35,97728,9.21,100243.66,4.47,11.57,0.23,0.18,0.23,5.7,5.7,83740013098,9.08,9.35,87.71,3.91,63.93,1.53,0.08,91.83,1,0.08,8.17,14.47,15.97,18.75,18.73,18.73,5710.64,1827404,5715.71,1829026,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.24,6.62,32,50,111,0x7fdc7e000000,0x7fdc7e384000,3686400,27,5,3600,3600.000256,0,"0.09349612244897959, 0.09331369387755101, 0.09333985714285717, 0.09350489795918365, 0.09346308163265302, 0.0932606530612245, 0.09359542857142855",3
gaussian,960,b,1,Fan2,874386051.1,9.35,127771,1306967638,9.35,97728,9.21,100243.66,4.47,11.57,0.23,0.18,0.23,5.7,5.7,83740013098,9.08,9.35,87.71,3.91,63.93,1.53,0.08,91.83,1,0.08,8.17,14.47,15.97,18.75,18.73,18.73,5710.64,1827404,5715.71,1829026,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.24,6.62,32,50,111,0x7fdc7e400000,0x7fdc7e400f00,3840,2,90,4,4,0,"0.09331944897959184, 0.09342577551020409, 0.0936930612244898, 0.09326912244897959, 0.09343910204081632, 0.09340153061224488, 0.09342569387755102",0
gaussian,960,m,2,Fan2,874386051.1,9.35,127771,1306967638,9.35,97728,9.21,100243.66,4.47,11.57,0.23,0.18,0.23,5.7,5.7,83740013098,9.08,9.35,87.71,3.91,63.93,1.53,0.08,91.83,1,0.08,8.17,14.47,15.97,18.75,18.73,18.73,5710.64,1827404,5715.71,1829026,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.24,6.62,32,50,111,0x7fdc7e600000,0x7fdc7e984000,3686400,12,4,3600,0,0,"0.09365738775510202, 0.09344275510204081, 0.09344338775510201, 0.09351689795918368, 0.09330748979591838, 0.0932523673469388, 0.09335344897959184",6
