InputData,Kernel,Data,DataID,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
64,Fan2,a,0,714360428.0728003,1.3759999999999997,5294.1,1067977058.9028,1.3759999999999997,4974.08,0.7904000000000001,1414.3276000000005,0.3818000000000002,1.8204,0.04780000000000003,0.012800000000000004,0.05719999999999997,1.4229999999999996,1.4229999999999996,9913998604.192802,0.7325999999999999,1.3759999999999997,88.09379999999996,0.2708000000000001,45.475000000000016,1.0676,0.02720000000000002,97.45579999999998,1.0,0.02720000000000002,2.5442,13.821799999999998,15.338799999999996,50.58699999999999,41.9798,41.9798,17.078599999999998,5465.0,20.278000000000006,6489.08,16.0,256.0,16.0,0.0,0.0,0.0,4096.0,0.09999999999999996,32.0,128.0,32.0,64.0,2.301600000000001,3.5965999999999996,32.0,50.0,111,0x200060000000,0x200060004000,16384,2,56,64.0,64.0,0.0,1
64,Fan2,b,1,714360428.0728003,1.3759999999999997,5294.1,1067977058.9028,1.3759999999999997,4974.08,0.7904000000000001,1414.3276000000005,0.3818000000000002,1.8204,0.04780000000000003,0.012800000000000004,0.05719999999999997,1.4229999999999996,1.4229999999999996,9913998604.192802,0.7325999999999999,1.3759999999999997,88.09379999999996,0.2708000000000001,45.475000000000016,1.0676,0.02720000000000002,97.45579999999998,1.0,0.02720000000000002,2.5442,13.821799999999998,15.338799999999996,50.58699999999999,41.9798,41.9798,17.078599999999998,5465.0,20.278000000000006,6489.08,16.0,256.0,16.0,0.0,0.0,0.0,4096.0,0.09999999999999996,32.0,128.0,32.0,64.0,2.301600000000001,3.5965999999999996,32.0,50.0,111,0x200060004000,0x200060004100,256,0,0,0.0,0.0,0.0,1
64,Fan2,m,2,714360428.0728003,1.3759999999999997,5294.1,1067977058.9028,1.3759999999999997,4974.08,0.7904000000000001,1414.3276000000005,0.3818000000000002,1.8204,0.04780000000000003,0.012800000000000004,0.05719999999999997,1.4229999999999996,1.4229999999999996,9913998604.192802,0.7325999999999999,1.3759999999999997,88.09379999999996,0.2708000000000001,45.475000000000016,1.0676,0.02720000000000002,97.45579999999998,1.0,0.02720000000000002,2.5442,13.821799999999998,15.338799999999996,50.58699999999999,41.9798,41.9798,17.078599999999998,5465.0,20.278000000000006,6489.08,16.0,256.0,16.0,0.0,0.0,0.0,4096.0,0.09999999999999996,32.0,128.0,32.0,64.0,2.301600000000001,3.5965999999999996,32.0,50.0,111,0x200060004200,0x200060008200,16384,0,0,0.0,0.0,0.0,0
640,Fan1,a,0,746651237.4582001,4.4285999999999985,6247.32,1117016091.307,4.4285999999999985,5591.68,0.6260000000000001,64.157,0.06919999999999997,39.01040000000001,0.21120000000000005,0.0,0.2254000000000001,5.636199999999999,5.636199999999999,33854453376.651608,0.4608000000000002,4.4285999999999985,51.28919999999998,0.06919999999999997,1.4126000000000003,2.8908000000000014,0.08799999999999995,93.8904,1.0,0.06040000000000004,6.1095999999999995,28.855,31.4962,50.4286,47.28680000000002,47.28680000000002,3.3895999999999957,1083.62,3.609599999999997,1155.62,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,10.8188,16.9048,64.0,100.0,111,0x200060000000,0x200060190000,1638400,17,19,2048.0,1664.0,0.0,0
640,Fan1,b,1,746651237.4582001,4.4285999999999985,6247.32,1117016091.307,4.4285999999999985,5591.68,0.6260000000000001,64.157,0.06919999999999997,39.01040000000001,0.21120000000000005,0.0,0.2254000000000001,5.636199999999999,5.636199999999999,33854453376.651608,0.4608000000000002,4.4285999999999985,51.28919999999998,0.06919999999999997,1.4126000000000003,2.8908000000000014,0.08799999999999995,93.8904,1.0,0.06040000000000004,6.1095999999999995,28.855,31.4962,50.4286,47.28680000000002,47.28680000000002,3.3895999999999957,1083.62,3.609599999999997,1155.62,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,10.8188,16.9048,64.0,100.0,111,0x200060190000,0x200060190a00,2560,1,0,448.0,64.0,0.0,1
640,Fan1,m,2,746651237.4582001,4.4285999999999985,6247.32,1117016091.307,4.4285999999999985,5591.68,0.6260000000000001,64.157,0.06919999999999997,39.01040000000001,0.21120000000000005,0.0,0.2254000000000001,5.636199999999999,5.636199999999999,33854453376.651608,0.4608000000000002,4.4285999999999985,51.28919999999998,0.06919999999999997,1.4126000000000003,2.8908000000000014,0.08799999999999995,93.8904,1.0,0.06040000000000004,6.1095999999999995,28.855,31.4962,50.4286,47.28680000000002,47.28680000000002,3.3895999999999957,1083.62,3.609599999999997,1155.62,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,10.8188,16.9048,64.0,100.0,111,0x200060200000,0x200060390000,1638400,6,46,2048.0,0.0,0.0,0
640,Fan2,a,0,862762158.9916003,9.6564,59980.82,1287577255.1144,11.041200000000005,46520.96,11.0282,48517.82740000001,4.221000000000001,10.3594,0.20759999999999987,0.16820000000000002,0.20819999999999986,5.213799999999999,5.213799999999999,85304857400.65822,10.8128,10.727800000000002,91.79699999999997,3.5725999999999996,54.65979999999999,1.3229999999999995,0.06999999999999995,93.183,1.0,0.06999999999999995,6.8169999999999975,14.471400000000004,15.9318,19.4394,19.405000000000012,19.405000000000012,2524.244799999999,807758.12,2528.705200000001,809185.86,16.0,25600.0,16.0,0.0,0.0,0.0,409600.0,10.0,32.0,128.0,32.0,64.0,4.1423999999999985,6.4724,32.0,50.0,111,0x200060000000,0x200060190000,1638400,17,19,2048.0,1664.0,0.0,6
640,Fan2,b,1,862762158.9916003,9.6564,59980.82,1287577255.1144,11.041200000000005,46520.96,11.0282,48517.82740000001,4.221000000000001,10.3594,0.20759999999999987,0.16820000000000002,0.20819999999999986,5.213799999999999,5.213799999999999,85304857400.65822,10.8128,10.727800000000002,91.79699999999997,3.5725999999999996,54.65979999999999,1.3229999999999995,0.06999999999999995,93.183,1.0,0.06999999999999995,6.8169999999999975,14.471400000000004,15.9318,19.4394,19.405000000000012,19.405000000000012,2524.244799999999,807758.12,2528.705200000001,809185.86,16.0,25600.0,16.0,0.0,0.0,0.0,409600.0,10.0,32.0,128.0,32.0,64.0,4.1423999999999985,6.4724,32.0,50.0,111,0x200060190000,0x200060190a00,2560,1,0,448.0,64.0,0.0,0
640,Fan2,m,2,862762158.9916003,9.6564,59980.82,1287577255.1144,11.041200000000005,46520.96,11.0282,48517.82740000001,4.221000000000001,10.3594,0.20759999999999987,0.16820000000000002,0.20819999999999986,5.213799999999999,5.213799999999999,85304857400.65822,10.8128,10.727800000000002,91.79699999999997,3.5725999999999996,54.65979999999999,1.3229999999999995,0.06999999999999995,93.183,1.0,0.06999999999999995,6.8169999999999975,14.471400000000004,15.9318,19.4394,19.405000000000012,19.405000000000012,2524.244799999999,807758.12,2528.705200000001,809185.86,16.0,25600.0,16.0,0.0,0.0,0.0,409600.0,10.0,32.0,128.0,32.0,64.0,4.1423999999999985,6.4724,32.0,50.0,111,0x200060200000,0x200060390000,1638400,6,46,2048.0,0.0,0.0,0
656,Fan1,a,0,727666550.1032001,4.627600000000001,5942.86,1088486255.605,4.627600000000001,5457.92,0.6724000000000001,59.82279999999998,0.06020000000000004,42.826400000000014,0.23160000000000025,0.0,0.2458000000000001,6.1608,6.1608,34477990049.675186,0.4933999999999999,4.627600000000001,51.26380000000001,0.05139999999999998,1.4217999999999993,2.9094000000000007,0.09339999999999997,93.43720000000002,1.0,0.06699999999999999,6.562800000000001,28.78779999999999,31.418400000000005,47.2112,44.324,44.324,3.4591999999999983,1106.24,3.679199999999997,1178.24,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,11.097800000000005,17.34,64.0,100.0,111,0x200060000000,0x2000601a4400,1721344,14,23,2048.0,1728.0,0.0,0
656,Fan1,b,1,727666550.1032001,4.627600000000001,5942.86,1088486255.605,4.627600000000001,5457.92,0.6724000000000001,59.82279999999998,0.06020000000000004,42.826400000000014,0.23160000000000025,0.0,0.2458000000000001,6.1608,6.1608,34477990049.675186,0.4933999999999999,4.627600000000001,51.26380000000001,0.05139999999999998,1.4217999999999993,2.9094000000000007,0.09339999999999997,93.43720000000002,1.0,0.06699999999999999,6.562800000000001,28.78779999999999,31.418400000000005,47.2112,44.324,44.324,3.4591999999999983,1106.24,3.679199999999997,1178.24,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,11.097800000000005,17.34,64.0,100.0,111,0x2000601a4400,0x2000601a4e40,2624,0,0,0.0,0.0,0.0,1
656,Fan1,m,2,727666550.1032001,4.627600000000001,5942.86,1088486255.605,4.627600000000001,5457.92,0.6724000000000001,59.82279999999998,0.06020000000000004,42.826400000000014,0.23160000000000025,0.0,0.2458000000000001,6.1608,6.1608,34477990049.675186,0.4933999999999999,4.627600000000001,51.26380000000001,0.05139999999999998,1.4217999999999993,2.9094000000000007,0.09339999999999997,93.43720000000002,1.0,0.06699999999999999,6.562800000000001,28.78779999999999,31.418400000000005,47.2112,44.324,44.324,3.4591999999999983,1106.24,3.679199999999997,1178.24,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,11.097800000000005,17.34,64.0,100.0,111,0x200060200000,0x2000603a4400,1721344,6,38,1728.0,0.0,0.0,0
656,Fan2,a,0,863799539.3220001,9.611200000000002,62879.84,1289186429.6260002,13.313199999999995,48705.92,13.304399999999998,50709.77819999998,4.2356,9.947000000000003,0.2094,0.16879999999999998,0.20980000000000004,5.2462,5.2462,85019728637.44522,13.263799999999998,10.7302,91.4216,3.5841999999999983,54.56019999999999,1.3678,0.06759999999999998,93.397,1.0,0.06619999999999998,6.6030000000000015,14.473400000000007,15.9318,20.7676,20.731399999999994,20.731399999999994,2654.9377999999992,849580.04,2659.5284,851049.38,16.0,26896.0,16.0,0.0,0.0,0.0,430336.0,10.509999999999996,32.0,128.0,32.0,64.0,4.5748,7.1481999999999974,32.0,50.0,111,0x200060000000,0x2000601a4400,1721344,14,23,2048.0,1728.0,0.0,1
