Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
cfd,097K,38,cuda_compute_flux,852156276.69,36.31,47243,1255106034.73,36.31,37472,32.43,36870.20,24.11,29.44,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.15,37.74,30,46.88
cfd,097K,39,cuda_time_step,869241192.41,64.16,15280,1290735094.85,64.16,11808,21.03,11540.09,5.06,14.47,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.85,52.89,60,93.75
cfd,097K,40,cuda_compute_flux,880240174.67,35.94,47756,1297839337.70,35.94,36640,32.13,36997.25,23.65,29.28,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.32,37.99,30,46.88
cfd,097K,41,cuda_time_step,822493224.93,67.65,14449,1220881323.40,67.65,11808,22.22,11474.81,5.34,14.55,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.81,52.82,60,93.75
cfd,097K,42,cuda_compute_step_factor,770034843.21,45.65,10487,1140588704.99,45.65,9184,13.37,8125.62,19.05,11.21,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.00,46.87,60,93.75
cfd,097K,43,cuda_compute_flux,871093750,36.05,47510,1282918294.27,36.05,36864,32.37,36459.76,24.05,29.73,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.66,38.53,30,46.88
cfd,097K,44,cuda_time_step,788085937.50,68.59,14431,1172064887.15,68.59,12288,22.25,11423.33,5.34,14.62,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.01,53.14,60,93.75
cfd,097K,45,cuda_compute_flux,869699646.64,36.70,46579,1280412617.79,36.70,36224,33.12,36918.04,24.04,29.39,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.46,38.23,30,46.88
cfd,097K,46,cuda_time_step,855263157.89,63.45,15479,1270216557.02,63.45,12160,20.74,11897.04,4.98,14.04,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.04,53.18,60,93.75
cfd,097K,47,cuda_compute_flux,863219349.46,34.92,49036,1272666458.16,34.92,38368,31.17,36864.09,22.65,29.47,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.63,38.49,30,46.88
