kernel,InputData,MemLocation,h_areas,h_elements_surrounding_elements,h_normals,label,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,0434,95.36,7.33e+03,6000,1.221409,1.205913,8.223861
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationCPU,0435,84.28,1.91e+03,6000,0.318160,0.311487,3.822741
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,none,0440,84.35,1.92e+03,6000,0.320105,0.310943,5.765950
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,0441,84.79,2.00e+03,6000,0.333927,0.311518,5.652447
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0442,84.34,1.92e+03,6000,0.320043,0.311934,5.593089
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,0443,95.36,7.32e+03,6000,1.219924,1.205401,3.938249
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0444,95.35,7.27e+03,6000,1.212471,1.205976,10.99472
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,0445,84.35,1.92e+03,6000,0.320093,0.310462,5.639041
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,none,0450,57.39,478.8020,6000,0.079800,0.068447,4.604519
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetReadMostly,0451,57.31,479.4196,6000,0.079903,0.068511,4.520039
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,0452,57.43,479.7586,6000,0.079959,0.068864,4.273449
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetAccessedByGPU,0453,93.92,5.51e+03,6000,0.918631,0.907323,2.485842
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,0454,93.94,5.50e+03,6000,0.915835,0.907099,8.596273
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationCPU,0455,57.32,479.3821,6000,0.079897,0.068960,4.412233
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,none,none,0500,70.54,478.1731,6000,0.079695,0.068671,4.423017
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,none,cudaMemAdviseSetReadMostly,0501,70.50,477.8865,6000,0.079647,0.068512,4.092747
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,none,cudaMemAdviseSetPreferredLocationGPU,0502,70.54,477.6219,6000,0.079603,0.068736,3.910540
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,none,cudaMemAdviseSetAccessedByGPU,0503,96.51,5.52e+03,6000,0.919861,0.907098,2.120147
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,none,cudaMemAdviseSetPreferredLocationGPU,0504,96.51,5.52e+03,6000,0.920402,0.907612,8.956754
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,none,cudaMemAdviseSetPreferredLocationCPU,0505,70.56,479.0826,6000,0.079847,0.068512,4.958120
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetReadMostly,none,0510,70.58,478.8355,6000,0.079805,0.068512,4.586026
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetReadMostly,cudaMemAdviseSetReadMostly,0511,70.51,478.4479,6000,0.079741,0.068159,4.651271
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,0512,70.49,478.1607,6000,0.079693,0.068544,4.483431
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetReadMostly,cudaMemAdviseSetAccessedByGPU,0513,96.51,5.52e+03,6000,0.919453,0.907259,2.362547
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,0514,96.51,5.52e+03,6000,0.919957,0.906939,8.945933
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationCPU,0515,70.56,478.2539,6000,0.079708,0.068480,4.458279
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,none,0520,70.52,478.1381,6000,0.079689,0.068448,4.716807
