Benchmark,Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,label categorical
bfs,0.01,0.08,10.36,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.08,10.36,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.08,10.36,512,16,4096,0.03,8,4,0,10,16,0,A
bfs,0.02,0.09,45.88,512,21,4096,0.03,5,4,1,0,44,0,A
bfs,0.02,0.09,45.88,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0.02,0.09,45.88,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0.02,0.09,45.88,512,21,4096,0.03,5,4,0,10,16,0,A
bfs,0.01,0.04,5.29,512,16,4096,0.03,8,4,1,0,44,0,A
bfs,0.01,0.04,5.29,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.04,5.29,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.04,5.29,512,16,4096,0.03,8,4,0,10,16,0,A
bfs,0,0.04,5.11,512,21,4096,0.03,5,4,1,0,44,0,A
bfs,0,0.04,5.11,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0,0.04,5.11,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0,0.04,5.11,512,21,4096,0.03,5,4,0,10,16,0,A
bfs,0.01,0.05,5.2,512,16,4096,0.03,8,4,1,0,44,0,A
bfs,0.01,0.05,5.2,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.05,5.2,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.05,5.2,512,16,4096,0.03,8,4,0,10,16,0,A
bfs,0.1,0.07,85.36,512,16,65536,0.4,8,4,5,27,568,0,A
bfs,0.1,0.07,85.36,512,16,65536,0.4,8,4,2,26,192,0,A
bfs,0.1,0.07,85.36,512,16,65536,0.4,8,4,2,0,128,0,A
bfs,0.1,0.07,85.36,512,16,65536,0.4,8,4,1,1,4,0,E
bfs,0.03,0.05,104.03,512,21,65536,0.4,5,4,5,27,568,0,A
bfs,0.03,0.05,104.03,512,21,65536,0.4,5,4,2,26,192,0,A
bfs,0.03,0.05,104.03,512,21,65536,0.4,5,4,2,0,128,0,A
bfs,0.03,0.05,104.03,512,21,65536,0.4,5,4,1,1,4,0,F
bfs,0.1,0.07,95.76,512,16,65536,0.4,8,4,5,27,568,0,A
bfs,0.1,0.07,95.76,512,16,65536,0.4,8,4,2,26,192,0,A
bfs,0.1,0.07,95.76,512,16,65536,0.4,8,4,2,0,128,0,A
bfs,0.1,0.07,95.76,512,16,65536,0.4,8,4,1,1,4,0,E
bfs,0.07,0.05,237.84,512,21,65536,0.4,5,4,5,27,568,0,A
bfs,0.07,0.05,237.84,512,21,65536,0.4,5,4,2,26,192,0,A
bfs,0.07,0.05,237.84,512,21,65536,0.4,5,4,2,0,128,0,A
bfs,0.07,0.05,237.84,512,21,65536,0.4,5,4,1,1,4,0,F
bfs,0.11,0.1,139.17,512,16,65536,0.4,8,4,5,27,568,0,A
bfs,0.11,0.1,139.17,512,16,65536,0.4,8,4,2,26,192,0,A
bfs,0.11,0.1,139.17,512,16,65536,0.4,8,4,2,0,128,0,A
bfs,0.11,0.1,139.17,512,16,65536,0.4,8,4,1,1,4,0,E
bfs,0.22,0.09,818.19,512,21,65536,0.4,5,4,5,27,568,0,A
bfs,0.22,0.09,818.19,512,21,65536,0.4,5,4,2,26,192,0,A
bfs,0.22,0.09,818.19,512,21,65536,0.4,5,4,2,0,128,0,A
bfs,0.22,0.09,818.19,512,21,65536,0.4,5,4,1,1,4,0,F
bfs,0.1,0.11,178.36,512,16,65536,0.4,8,4,5,27,568,0,A
bfs,0.1,0.11,178.36,512,16,65536,0.4,8,4,2,26,192,0,A
bfs,0.1,0.11,178.36,512,16,65536,0.4,8,4,2,0,128,0,A
bfs,0.1,0.11,178.36,512,16,65536,0.4,8,4,1,1,4,0,E
bfs,0.29,0.11,1655.31,512,21,65536,0.4,5,4,5,27,568,0,A
bfs,0.29,0.11,1655.31,512,21,65536,0.4,5,4,2,26,192,0,A
bfs,0.29,0.11,1655.31,512,21,65536,0.4,5,4,2,0,128,0,A
bfs,0.29,0.11,1655.31,512,21,65536,0.4,5,4,1,1,4,0,F
bfs,0.1,0.1,179.2,512,16,65536,0.4,8,4,5,27,568,0,A
bfs,0.1,0.1,179.2,512,16,65536,0.4,8,4,2,26,192,0,A
bfs,0.1,0.1,179.2,512,16,65536,0.4,8,4,2,0,128,0,A
bfs,0.1,0.1,179.2,512,16,65536,0.4,8,4,1,1,4,0,E
bfs,0.29,0.1,1901.01,512,21,65536,0.4,5,4,5,27,568,0,A
bfs,0.29,0.1,1901.01,512,21,65536,0.4,5,4,2,26,192,0,A
bfs,0.29,0.1,1901.01,512,21,65536,0.4,5,4,2,0,128,0,A
bfs,0.29,0.1,1901.01,512,21,65536,0.4,5,4,1,1,4,0,F
bfs,0.1,0.11,179.2,512,16,65536,0.4,8,4,5,27,568,0,A
bfs,0.1,0.11,179.2,512,16,65536,0.4,8,4,2,26,192,0,A
bfs,0.1,0.11,179.2,512,16,65536,0.4,8,4,2,0,128,0,A
bfs,0.1,0.11,179.2,512,16,65536,0.4,8,4,1,1,4,0,E
bfs,0.39,0.13,1500.69,512,21,65536,0.4,5,4,5,27,568,0,A
bfs,0.39,0.13,1500.69,512,21,65536,0.4,5,4,2,26,192,0,A
bfs,0.39,0.13,1500.69,512,21,65536,0.4,5,4,2,0,128,0,A
bfs,0.39,0.13,1500.69,512,21,65536,0.4,5,4,1,1,4,0,F
bfs,0.11,0.08,116.43,512,16,65536,0.4,8,4,5,27,568,0,A
bfs,0.11,0.08,116.43,512,16,65536,0.4,8,4,2,26,192,0,A
bfs,0.11,0.08,116.43,512,16,65536,0.4,8,4,2,0,128,0,A
bfs,0.11,0.08,116.43,512,16,65536,0.4,8,4,1,1,4,0,E
bfs,0.12,0.06,251.16,512,21,65536,0.4,5,4,5,27,568,0,A
bfs,0.12,0.06,251.16,512,21,65536,0.4,5,4,2,26,192,0,A
bfs,0.12,0.06,251.16,512,21,65536,0.4,5,4,2,0,128,0,A
bfs,0.12,0.06,251.16,512,21,65536,0.4,5,4,1,1,4,0,F
bfs,0.1,0.07,83.48,512,16,65536,0.4,8,4,5,27,568,0,A
bfs,0.1,0.07,83.48,512,16,65536,0.4,8,4,2,26,192,0,A
bfs,0.1,0.07,83.48,512,16,65536,0.4,8,4,2,0,128,0,A
bfs,0.1,0.07,83.48,512,16,65536,0.4,8,4,1,1,4,0,E
bfs,0.06,0.06,77.57,512,21,65536,0.4,5,4,5,27,568,0,A
bfs,0.06,0.06,77.57,512,21,65536,0.4,5,4,2,26,192,0,A
bfs,0.06,0.06,77.57,512,21,65536,0.4,5,4,2,0,128,0,A
bfs,0.06,0.06,77.57,512,21,65536,0.4,5,4,1,1,4,0,F
bfs,0.1,0.07,83.2,512,16,65536,0.4,8,4,5,27,568,0,A
bfs,0.1,0.07,83.2,512,16,65536,0.4,8,4,2,26,192,0,A
bfs,0.1,0.07,83.2,512,16,65536,0.4,8,4,2,0,128,0,A
bfs,0.1,0.07,83.2,512,16,65536,0.4,8,4,1,1,4,0,E
cfd,0.86,0.29,2267.51,192,20,97152,0.63,14,10,3,11,512,0,A
cfd,0.86,0.29,2267.51,192,20,97152,0.63,14,10,10,17,1536,0,A
cfd,0.86,0.29,2267.51,192,20,97152,0.63,14,10,33,24,4556,0,F
cfd,1.06,0.35,12814.51,192,60,97152,1.27,5,10,3,11,512,0,G
cfd,1.06,0.35,12814.51,192,60,97152,1.27,5,10,10,17,1536,0,A
cfd,1.06,0.35,12814.51,192,60,97152,1.27,5,10,33,24,4556,0,C
cfd,0.19,0.07,759,192,22,97152,0.63,14,10,3,11,512,0,E
cfd,0.19,0.07,759,192,22,97152,0.63,14,10,10,17,1536,0,F
cfd,0.19,0.07,759,192,22,97152,0.63,14,10,33,24,4556,0,E
cfd,1.13,0.36,13961.27,192,60,97152,1.27,5,10,3,11,512,0,G
cfd,1.13,0.36,13961.27,192,60,97152,1.27,5,10,10,17,1536,0,A
cfd,1.13,0.36,13961.27,192,60,97152,1.27,5,10,33,24,4556,0,C
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,3,11,512,0,E
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,10,17,1536,0,F
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,33,24,4556,0,E
cfd,1.1,0.35,13227.46,192,60,97152,1.27,5,10,3,11,512,0,G
cfd,1.1,0.35,13227.46,192,60,97152,1.27,5,10,10,17,1536,0,A
cfd,1.1,0.35,13227.46,192,60,97152,1.27,5,10,33,24,4556,0,C
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,3,11,512,0,E
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,10,17,1536,0,F
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,33,24,4556,0,E
cfd,0.87,0.29,2322.5,192,20,97152,0.63,14,10,3,11,512,0,A
cfd,0.87,0.29,2322.5,192,20,97152,0.63,14,10,10,17,1536,0,A
cfd,0.87,0.29,2322.5,192,20,97152,0.63,14,10,33,24,4556,0,F
cfd,1.03,0.34,13025.31,192,60,97152,1.27,5,10,3,11,512,0,G
cfd,1.03,0.34,13025.31,192,60,97152,1.27,5,10,10,17,1536,0,A
cfd,1.03,0.34,13025.31,192,60,97152,1.27,5,10,33,24,4556,0,C
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,3,11,512,0,E
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,10,17,1536,0,F
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,33,24,4556,0,E
cfd,1.06,0.33,12743.55,192,60,97152,1.27,5,10,3,11,512,0,G
cfd,1.06,0.33,12743.55,192,60,97152,1.27,5,10,10,17,1536,0,A
cfd,1.06,0.33,12743.55,192,60,97152,1.27,5,10,33,24,4556,0,C
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,3,11,512,0,E
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,10,17,1536,0,F
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,33,24,4556,0,E
cfd,1.01,0.33,12397.49,192,60,97152,1.27,5,10,3,11,512,0,G
cfd,1.01,0.33,12397.49,192,60,97152,1.27,5,10,10,17,1536,0,A
cfd,1.01,0.33,12397.49,192,60,97152,1.27,5,10,33,24,4556,0,C
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,3,11,512,0,E
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,10,17,1536,0,F
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,33,24,4556,0,E
cfd,0.84,0.28,2201.49,192,20,97152,0.63,14,10,3,11,512,0,A
cfd,0.84,0.28,2201.49,192,20,97152,0.63,14,10,10,17,1536,0,A
cfd,0.84,0.28,2201.49,192,20,97152,0.63,14,10,33,24,4556,0,F
cfd,1.04,0.33,12419.13,192,60,97152,1.27,5,10,3,11,512,0,G
cfd,1.04,0.33,12419.13,192,60,97152,1.27,5,10,10,17,1536,0,A
cfd,1.04,0.33,12419.13,192,60,97152,1.27,5,10,33,24,4556,0,C
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,3,11,512,0,E
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,10,17,1536,0,F
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,33,24,4556,0,E
cfd,1.01,0.33,12109.3,192,60,97152,1.27,5,10,3,11,512,0,G
cfd,1.01,0.33,12109.3,192,60,97152,1.27,5,10,10,17,1536,0,A
cfd,1.01,0.33,12109.3,192,60,97152,1.27,5,10,33,24,4556,0,C
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,3,11,512,0,E
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,10,17,1536,0,F
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,33,24,4556,0,E
cfd,1,0.33,11940.74,192,60,97152,1.27,5,10,3,11,512,0,G
cfd,1,0.33,11940.74,192,60,97152,1.27,5,10,10,17,1536,0,A
cfd,1,0.33,11940.74,192,60,97152,1.27,5,10,33,24,4556,0,C
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,3,11,512,0,E
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,10,17,1536,0,F
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,33,24,4556,0,E
cfd,0.81,0.27,2106.93,192,20,97152,0.63,14,10,3,11,512,0,A
cfd,0.81,0.27,2106.93,192,20,97152,0.63,14,10,10,17,1536,0,A
cfd,0.81,0.27,2106.93,192,20,97152,0.63,14,10,33,24,4556,0,F
cfd,0.98,0.33,11965,192,60,97152,1.27,5,10,3,11,512,0,G
cfd,0.98,0.33,11965,192,60,97152,1.27,5,10,10,17,1536,0,A
cfd,0.98,0.33,11965,192,60,97152,1.27,5,10,33,24,4556,0,C
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,3,11,512,0,E
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,10,17,1536,0,F
cfd,0.21,0.07,759,192,22,97152,0.63,14,10,33,24,4556,0,E
cfd,0.78,0.26,2067.8,192,20,97152,0.63,14,10,3,11,512,0,A
cfd,0.78,0.26,2067.8,192,20,97152,0.63,14,10,10,17,1536,0,A
cfd,0.78,0.26,2067.8,192,20,97152,0.63,14,10,33,24,4556,0,F
cfd,0.76,0.26,2008.02,192,20,97152,0.63,14,10,3,11,512,0,A
cfd,0.76,0.26,2008.02,192,20,97152,0.63,14,10,10,17,1536,0,A
cfd,0.76,0.26,2008.02,192,20,97152,0.63,14,10,33,24,4556,0,F
cfd,0.73,0.25,1973.08,192,20,97152,0.63,14,10,3,11,512,0,A
cfd,0.73,0.25,1973.08,192,20,97152,0.63,14,10,10,17,1536,0,A
cfd,0.73,0.25,1973.08,192,20,97152,0.63,14,10,33,24,4556,0,F
cfd,0.75,0.25,1926.52,192,20,97152,0.63,14,10,3,11,512,0,A
cfd,0.75,0.25,1926.52,192,20,97152,0.63,14,10,10,17,1536,0,A
cfd,0.75,0.25,1926.52,192,20,97152,0.63,14,10,33,24,4556,0,F
cfd,0.73,0.24,1909.98,192,20,97152,0.63,14,10,3,11,512,0,A
cfd,0.73,0.24,1909.98,192,20,97152,0.63,14,10,10,17,1536,0,A
cfd,0.73,0.24,1909.98,192,20,97152,0.63,14,10,33,24,4556,0,F
cfd,0.73,0.25,1879.76,192,20,97152,0.63,14,10,3,11,512,0,A
cfd,0.73,0.25,1879.76,192,20,97152,0.63,14,10,10,17,1536,0,A
cfd,0.73,0.25,1879.76,192,20,97152,0.63,14,10,33,24,4556,0,F
cfd,1.08,0.33,4517.1,192,20,193536,1.26,14,10,5,60,1024,0,A
cfd,1.08,0.33,4517.1,192,20,193536,1.26,14,10,20,33,3024,0,A
cfd,1.08,0.33,4517.1,192,20,193536,1.26,14,10,58,20,9072,0,E
cfd,1.33,0.38,25538.25,192,60,193536,2.52,5,10,5,60,1024,0,A
cfd,1.33,0.38,25538.25,192,60,193536,2.52,5,10,20,33,3024,0,B
cfd,1.33,0.38,25538.25,192,60,193536,2.52,5,10,58,20,9072,0,C
