Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,label categorical
0,0.05,1.11,512,17,512,0,5,4,1,6,64,0,A
0.07,0.05,132.05,16,16,20736,0.51,128,64,4,68,128,128,B
0.07,0.05,132.05,16,16,20736,0.51,128,64,0,0,0,0,A
0.07,0.05,132.05,16,16,20736,0.51,128,64,1,6,64,0,A
0,0.06,1.11,512,17,512,0,5,4,4,68,128,128,A
0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.11,512,17,512,0,5,4,1,6,64,0,A
0.07,0.05,130.19,16,16,20736,0.51,128,64,4,68,128,128,B
0.07,0.05,130.19,16,16,20736,0.51,128,64,0,0,0,0,A
0.07,0.05,130.19,16,16,20736,0.51,128,64,1,6,64,0,A
0,0.06,1.11,512,17,512,0,5,4,4,68,128,128,A
0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.11,512,17,512,0,5,4,1,6,64,0,A
0.07,0.05,130.19,16,16,20736,0.51,128,64,4,68,128,128,B
0.07,0.05,130.19,16,16,20736,0.51,128,64,0,0,0,0,A
0.07,0.05,130.19,16,16,20736,0.51,128,64,1,6,64,0,A
0,0.06,1.11,512,17,512,0,5,4,4,68,128,128,A
0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.11,512,17,512,0,5,4,1,6,64,0,A
0,0.02,1.76,16,16,256,0.01,128,64,2,9,64,64,B
0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,A
0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,A
0,0.07,0.62,512,17,512,0,5,4,2,9,64,64,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,D
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.02,1.76,16,16,256,0.01,128,64,2,9,64,64,B
0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,A
0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,A
0,0.05,0.62,512,17,512,0,5,4,2,9,64,64,A
0,0.05,0.62,512,17,512,0,5,4,0,0,0,0,D
0,0.05,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.02,1.45,16,16,256,0.01,128,64,2,9,64,64,B
0,0.02,1.45,16,16,256,0.01,128,64,0,0,0,0,A
0,0.02,1.45,16,16,256,0.01,128,64,0,0,0,0,A
0,0.07,0.62,512,17,512,0,5,4,2,9,64,64,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,D
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.02,1.29,16,16,256,0.01,128,64,2,9,64,64,B
0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,A
0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,A
0,0.07,0.62,512,17,512,0,5,4,2,9,64,64,A
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,D
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,A
0,0.02,1.29,16,16,256,0.01,128,64,2,9,64,64,B
0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,A
0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,A
0,0.06,0.62,512,17,512,0,5,4,2,9,64,64,A
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,D
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,A
0.08,0.05,166.12,16,16,25600,0.62,128,64,4,67,128,128,B
0.08,0.05,166.12,16,16,25600,0.62,128,64,0,0,0,0,A
0.08,0.05,166.12,16,16,25600,0.62,128,64,1,4,128,0,A
0,0.06,1.11,512,17,512,0,5,4,4,67,128,128,A
0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.11,512,17,512,0,5,4,1,4,128,0,A
0.08,0.05,166.12,16,16,25600,0.62,128,64,4,67,128,128,B
0.08,0.05,166.12,16,16,25600,0.62,128,64,0,0,0,0,A
0.08,0.05,166.12,16,16,25600,0.62,128,64,1,4,128,0,A
0,0.06,1.11,512,17,512,0,5,4,4,67,128,128,A
0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.11,512,17,512,0,5,4,1,4,128,0,A
0.08,0.05,163.22,16,16,25600,0.62,128,64,4,67,128,128,B
0.08,0.05,163.22,16,16,25600,0.62,128,64,0,0,0,0,A
0.08,0.05,163.22,16,16,25600,0.62,128,64,1,4,128,0,A
0,0.05,1.11,512,17,512,0,5,4,4,67,128,128,A
0,0.05,1.11,512,17,512,0,5,4,0,0,0,0,C
0,0.05,1.11,512,17,512,0,5,4,1,4,128,0,A
0.08,0.05,161.15,16,16,25600,0.62,128,64,4,67,128,128,B
0.08,0.05,161.15,16,16,25600,0.62,128,64,0,0,0,0,A
0.08,0.05,161.15,16,16,25600,0.62,128,64,1,4,128,0,A
0,0.06,1.11,512,17,512,0,5,4,4,67,128,128,A
0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.11,512,17,512,0,5,4,1,4,128,0,A
0.08,0.05,161.15,16,16,25600,0.62,128,64,4,67,128,128,B
0.08,0.05,161.15,16,16,25600,0.62,128,64,0,0,0,0,A
0.08,0.05,161.15,16,16,25600,0.62,128,64,1,4,128,0,A
0,0.06,1.11,512,17,512,0,5,4,4,67,128,128,A
0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.11,512,17,512,0,5,4,1,4,128,0,A
0.09,0.05,200.89,16,16,30976,0.76,128,64,4,59,128,128,E
0.09,0.05,200.89,16,16,30976,0.76,128,64,0,0,0,0,C
0.09,0.05,200.89,16,16,30976,0.76,128,64,1,7,128,0,A
0,0.06,1.23,512,17,512,0,5,4,4,59,128,128,A
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,D
0,0.06,1.23,512,17,512,0,5,4,1,7,128,0,A
0.09,0.05,200.89,16,16,30976,0.76,128,64,4,59,128,128,E
0.09,0.05,200.89,16,16,30976,0.76,128,64,0,0,0,0,C
0.09,0.05,200.89,16,16,30976,0.76,128,64,1,7,128,0,A
0,0.06,1.23,512,17,512,0,5,4,4,59,128,128,A
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,D
0,0.06,1.23,512,17,512,0,5,4,1,7,128,0,A
0.09,0.05,197.7,16,16,30976,0.76,128,64,4,59,128,128,E
0.09,0.05,197.7,16,16,30976,0.76,128,64,0,0,0,0,C
0.09,0.05,197.7,16,16,30976,0.76,128,64,1,7,128,0,A
0,0.05,1.23,512,17,512,0,5,4,4,59,128,128,A
0,0.05,1.23,512,17,512,0,5,4,0,0,0,0,D
0,0.05,1.23,512,17,512,0,5,4,1,7,128,0,A
0.09,0.05,195.41,16,16,30976,0.76,128,64,4,59,128,128,E
0.09,0.05,195.41,16,16,30976,0.76,128,64,0,0,0,0,C
0.09,0.05,195.41,16,16,30976,0.76,128,64,1,7,128,0,A
0,0.06,1.23,512,17,512,0,5,4,4,59,128,128,A
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,D
0,0.06,1.23,512,17,512,0,5,4,1,7,128,0,A
0.09,0.05,195.41,16,16,30976,0.76,128,64,4,59,128,128,E
0.09,0.05,195.41,16,16,30976,0.76,128,64,0,0,0,0,C
0.09,0.05,195.41,16,16,30976,0.76,128,64,1,7,128,0,A
0,0.06,1.23,512,17,512,0,5,4,4,59,128,128,A
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,D
0,0.06,1.23,512,17,512,0,5,4,1,7,128,0,A
0.1,0.05,238.95,16,16,36864,0.9,128,64,6,59,192,192,A
0.1,0.05,238.95,16,16,36864,0.9,128,64,0,0,0,0,A
0.1,0.05,238.95,16,16,36864,0.9,128,64,1,5,128,64,E
0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,A
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,A
0.1,0.05,238.95,16,16,36864,0.9,128,64,6,59,192,192,A
0.1,0.05,238.95,16,16,36864,0.9,128,64,0,0,0,0,A
0.1,0.05,238.95,16,16,36864,0.9,128,64,1,5,128,64,E
0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,A
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,A
0.1,0.05,235.47,16,16,36864,0.9,128,64,6,59,192,192,A
0.1,0.05,235.47,16,16,36864,0.9,128,64,0,0,0,0,A
0.1,0.05,235.47,16,16,36864,0.9,128,64,1,5,128,64,E
0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,A
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,A
0.1,0.05,232.97,16,16,36864,0.9,128,64,6,59,192,192,A
0.1,0.05,232.97,16,16,36864,0.9,128,64,0,0,0,0,A
0.1,0.05,232.97,16,16,36864,0.9,128,64,1,5,128,64,E
0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,A
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,A
0.1,0.05,232.97,16,16,36864,0.9,128,64,6,59,192,192,A
0.1,0.05,232.97,16,16,36864,0.9,128,64,0,0,0,0,A
0.1,0.05,232.97,16,16,36864,0.9,128,64,1,5,128,64,E
0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,A
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,C
0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,A
0.11,0.05,280.31,16,16,43264,1.06,128,64,6,50,192,192,D
0.11,0.05,280.31,16,16,43264,1.06,128,64,0,0,0,0,E
0.11,0.05,280.31,16,16,43264,1.06,128,64,1,5,320,64,A
0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,A
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,E
0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,A
0.11,0.05,280.31,16,16,43264,1.06,128,64,6,50,192,192,D
0.11,0.05,280.31,16,16,43264,1.06,128,64,0,0,0,0,E
0.11,0.05,280.31,16,16,43264,1.06,128,64,1,5,320,64,A
0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,A
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,E
0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,A
0.1,0.05,276.55,16,16,43264,1.06,128,64,6,50,192,192,D
0.1,0.05,276.55,16,16,43264,1.06,128,64,0,0,0,0,E
0.1,0.05,276.55,16,16,43264,1.06,128,64,1,5,320,64,A
0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,A
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,E
0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,A
0.1,0.05,273.84,16,16,43264,1.06,128,64,6,50,192,192,D
0.1,0.05,273.84,16,16,43264,1.06,128,64,0,0,0,0,E
0.1,0.05,273.84,16,16,43264,1.06,128,64,1,5,320,64,A
0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,A
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,E
0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,A
0.1,0.05,273.84,16,16,43264,1.06,128,64,6,50,192,192,D
0.1,0.05,273.84,16,16,43264,1.06,128,64,0,0,0,0,E
0.1,0.05,273.84,16,16,43264,1.06,128,64,1,5,320,64,A
0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,A
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,E
0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,A
0.12,0.05,324.98,16,16,50176,1.23,128,64,6,40,256,256,C
0.12,0.05,324.98,16,16,50176,1.23,128,64,0,0,0,0,G
0.12,0.05,324.98,16,16,50176,1.23,128,64,1,8,256,0,A
0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,A
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,E
0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,A
0.11,0.05,324.98,16,16,50176,1.23,128,64,6,40,256,256,C
0.11,0.05,324.98,16,16,50176,1.23,128,64,0,0,0,0,G
0.11,0.05,324.98,16,16,50176,1.23,128,64,1,8,256,0,A
0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,A
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,E
0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,A
0.11,0.05,320.92,16,16,50176,1.23,128,64,6,40,256,256,C
0.11,0.05,320.92,16,16,50176,1.23,128,64,0,0,0,0,G
0.11,0.05,320.92,16,16,50176,1.23,128,64,1,8,256,0,A
0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,A
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,E
0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,A
0.11,0.05,318,16,16,50176,1.23,128,64,6,40,256,256,C
0.11,0.05,318,16,16,50176,1.23,128,64,0,0,0,0,G
0.11,0.05,318,16,16,50176,1.23,128,64,1,8,256,0,A
0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,A
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,E
0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,A
0.11,0.05,318,16,16,50176,1.23,128,64,6,40,256,256,C
0.11,0.05,318,16,16,50176,1.23,128,64,0,0,0,0,G
0.11,0.05,318,16,16,50176,1.23,128,64,1,8,256,0,A
0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,A
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,E
0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,A
0.12,0.05,372.94,16,16,57600,1.41,128,64,6,41,256,256,A
0.12,0.05,372.94,16,16,57600,1.41,128,64,0,0,0,0,A
0.12,0.05,372.94,16,16,57600,1.41,128,64,1,1,256,0,B
0,0.06,1.48,512,17,512,0,5,4,6,41,256,256,A
0,0.06,1.48,512,17,512,0,5,4,0,0,0,0,D
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,A
0.12,0.05,372.94,16,16,57600,1.41,128,64,6,41,256,256,A
0.12,0.05,372.94,16,16,57600,1.41,128,64,0,0,0,0,A
0.12,0.05,372.94,16,16,57600,1.41,128,64,1,1,256,0,B
0,0.06,1.48,512,17,512,0,5,4,6,41,256,256,A
0,0.06,1.48,512,17,512,0,5,4,0,0,0,0,D
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,A
0.12,0.05,368.6,16,16,57600,1.41,128,64,6,41,256,256,A
0.12,0.05,368.6,16,16,57600,1.41,128,64,0,0,0,0,A
0.12,0.05,368.6,16,16,57600,1.41,128,64,1,1,256,0,B
0,0.06,1.48,512,17,512,0,5,4,6,41,256,256,A
0,0.06,1.48,512,17,512,0,5,4,0,0,0,0,D
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,A
0.12,0.05,365.46,16,16,57600,1.41,128,64,6,41,256,256,A
0.12,0.05,365.46,16,16,57600,1.41,128,64,0,0,0,0,A
0.12,0.05,365.46,16,16,57600,1.41,128,64,1,1,256,0,B
0,0.06,1.48,512,17,512,0,5,4,6,41,256,256,A
0,0.06,1.48,512,17,512,0,5,4,0,0,0,0,D
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,A
0.12,0.05,365.46,16,16,57600,1.41,128,64,6,41,256,256,A
0.12,0.05,365.46,16,16,57600,1.41,128,64,0,0,0,0,A
0.12,0.05,365.46,16,16,57600,1.41,128,64,1,1,256,0,B
0,0.06,1.48,512,17,512,0,5,4,6,41,256,256,A
0,0.06,1.48,512,17,512,0,5,4,0,0,0,0,D
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,A
0.13,0.05,424.2,16,16,65536,1.6,128,64,8,57,320,320,G
0.13,0.05,424.2,16,16,65536,1.6,128,64,2,8,64,64,A
0.13,0.05,424.2,16,16,65536,1.6,128,64,1,1,256,0,A
0,0.07,1.48,512,17,512,0,5,4,8,57,320,320,A
0,0.07,1.48,512,17,512,0,5,4,2,8,64,64,E
0,0.07,1.48,512,17,512,0,5,4,1,1,256,0,A
0.12,0.05,424.2,16,16,65536,1.6,128,64,8,57,320,320,G
0.12,0.05,424.2,16,16,65536,1.6,128,64,2,8,64,64,A
0.12,0.05,424.2,16,16,65536,1.6,128,64,1,1,256,0,A
0,0.06,1.48,512,17,512,0,5,4,8,57,320,320,A
0,0.06,1.48,512,17,512,0,5,4,2,8,64,64,E
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,A
0.12,0.05,419.57,16,16,65536,1.6,128,64,8,57,320,320,G
0.12,0.05,419.57,16,16,65536,1.6,128,64,2,8,64,64,A
0.12,0.05,419.57,16,16,65536,1.6,128,64,1,1,256,0,A
0,0.07,1.48,512,17,512,0,5,4,8,57,320,320,A
0,0.07,1.48,512,17,512,0,5,4,2,8,64,64,E
0,0.07,1.48,512,17,512,0,5,4,1,1,256,0,A
0.12,0.05,416.23,16,16,65536,1.6,128,64,8,57,320,320,G
0.12,0.05,416.23,16,16,65536,1.6,128,64,2,8,64,64,A
0.12,0.05,416.23,16,16,65536,1.6,128,64,1,1,256,0,A
0,0.06,1.48,512,17,512,0,5,4,8,57,320,320,A
0,0.06,1.48,512,17,512,0,5,4,2,8,64,64,E
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,A
0.12,0.05,416.23,16,16,65536,1.6,128,64,8,57,320,320,G
0.12,0.05,416.23,16,16,65536,1.6,128,64,2,8,64,64,A
0.12,0.05,416.23,16,16,65536,1.6,128,64,1,1,256,0,A
0,0.06,1.48,512,17,512,0,5,4,8,57,320,320,A
0,0.06,1.48,512,17,512,0,5,4,2,8,64,64,E
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,A
0.13,0.05,478.76,16,16,73984,1.81,128,64,8,34,320,320,A
0.13,0.05,478.76,16,16,73984,1.81,128,64,0,0,0,0,A
0.13,0.05,478.76,16,16,73984,1.81,128,64,1,8,704,0,F
0,0.06,1.6,512,17,512,0,5,4,8,34,320,320,A
